dataset,community_method,diffusion_model,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,guidance_mode,ml_backend,gnn_model_type,graphsage_enabled,ris_enabled,ris_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
rice_subset,leiden,ic,hybrid_siea,proposed,"[1198, 1235, 1237, 1315, 1324, 1335, 1448, 16, 1625, 1628, 2014, 2317, 2411, 3259, 3623, 3634, 3838, 4171, 434, 4436, 4713, 4812, 4854, 4980, 4985, 5, 5020, 5135, 5234, 5351, 5370, 5615, 5698, 5730, 593, 6109, 642, 677, 813, 97]",79.922,39.922,40,True,0.17772463768115943,0.005220941867596257,0.08625184790678159,445,full,True,True,True,True,False,off,history=rice_subset_budget40_leiden_hybrid_siea_history.csv,2648.8885564,3.834969799999726,2652.7235262,20,1000,20,1000,False,,,,,,,,,,off,none,none,,False,False,off,,,0,39.961,1.0,"1,0",0.3574127155588133,16,55,1,27.8125,21.977883058884448,hybrid_siea,0.0
rice_subset,leiden,ic,hybrid_siea_ml_gnn_ris_two_tier_tuned_swap_local_search,ml_guided,"[1049, 1237, 1291, 1315, 1324, 1326, 1448, 1625, 1628, 1674, 2014, 2411, 3078, 3123, 3300, 3364, 3623, 3634, 3818, 3838, 3854, 3924, 434, 4436, 4535, 4985, 5135, 5234, 5351, 5614, 5615, 5698, 5785, 593, 5958, 6097, 6109, 642, 947, 97]",77.893,37.893,40,True,0.17279710144927538,0.006408084520255097,0.08319450846451014,445,full,True,True,True,True,False,off,"ML guidance mode=two_tier; full_pool=445; tier_policy=tuned; backend=gnn_ris; weights=(graphsage=1.250, ris=1.000, fair_ris=0.500, fairness=0.250, diversity=0.150); target=gnn_label_score; target_variance=0.021890; gnn_model_type=graphsage; node2vec_mode=off; feature_shape=(445, 39); edge_index_shape=(2, 19320); cache=hit; label_variance=0.031299; ris_num_rr_sets=256; ris_mode=weak_group_weighted; fair_ris_enabled=True; ris_reuse_rr_sets=True; history=rice_subset_budget40_leiden_hybrid_siea_ml_gnn_ris_two_tier_tuned_swap_local_search_history.csv",251.19390140000087,3.5110967999999048,254.70499820000077,20,1000,20,1000,False,,,,,,,,,,two_tier,gnn_ris,gnn_ris,graphsage,True,True,weak_group_weighted,0.21161811161811162,0.4,0,38.9465,1.0,"1,0",0.3574127155588133,16,55,1,27.8125,21.977883058884448,hybrid_siea,-0.003057339442271448
