node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
0,0.09182306454475132,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09182306454475132,0.5589444155585526,0.0,1.345673641376453,0.7867292258179005,1.345673641376453,hybrid
1,0.18631478706344362,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.5,0.18631478706344362,0.0,0.7452592207447364,0.829266694080641,1.5745259148253774,0.829266694080641,hybrid
10,0.06452144738835902,0.5,0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.06452144738835902,0.5589444155585526,0.0,2.134752994513896,1.5758085789553435,2.134752994513896,hybrid
100,0.13170305495922358,0.5,0.375,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.13170305495922358,0.5589444155585526,0.0,2.244958970875575,1.6860145553170225,2.244958970875575,hybrid
101,0.12146410149952894,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.12146410149952894,0.5589444155585526,0.0,0.8575300561583641,0.2985856405998116,0.8575300561583641,hybrid
102,0.25334982125824695,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3666666666666667,0.0,0.0,0.5,0.25334982125824695,0.0,0.7452592207447364,1.0394140410918957,1.784673261836632,1.0394140410918957,hybrid
103,0.07208955072332883,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.07208955072332883,0.0,0.7452592207447364,1.2835765995445951,2.0288358202893315,1.2835765995445951,hybrid
104,0.2569598473476746,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.2569598473476746,0.5589444155585526,0.0,0.9117283544976225,0.35278393893906984,0.9117283544976225,hybrid
105,0.049935710738785936,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.049935710738785936,0.0,0.7452592207447364,1.2747150635507778,2.019974284295514,1.2747150635507778,hybrid
106,0.03724957014380196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03724957014380196,0.5589444155585526,0.0,0.5738442436160733,0.014899828057520784,0.5738442436160733,hybrid
