rank,node
1,10
2,116
3,12
4,128
5,149
6,15
7,179
8,204
9,209
10,21
11,214
12,243
13,250
14,252
15,265
16,290
17,295
18,296
19,318
20,340
21,345
22,349
23,354
24,37
25,381
26,405
27,43
28,44
29,442
30,446
31,447
32,458
33,470
34,474
35,475
36,476
37,498
38,80
39,85
40,92
