node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
1,0.34452542622639387,0.0,0.0,0.18181818181818182,0.18181818181818182,0.8333333333333334,0.0,0.6107933752163384,0.0,0.15328018669140042,1.1682412732796321,1.3215214599710325,1.1682412732796321,per_group
10,0.1785986831993209,0.5,0.5,0.0,0.0,0.5,0.0,0.4869914497831161,0.0,0.15328018669140042,1.7629558665015745,1.916236053192975,1.7629558665015745,per_group
100,0.35681204991089616,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6044607582043787,0.0,0.15328018669140042,0.8978956032213763,1.0511757899127767,0.8978956032213763,per_group
101,0.0007690079248185702,0.0,0.0,0.0,0.0,0.5,0.0,0.4023277227324561,0.0,0.15328018669140042,0.4079585055715095,0.5612386922629099,0.4079585055715095,per_group
102,0.178464696005423,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8060725435702892,0.0,0.15328018669140042,0.9072013758055513,1.0604815624969517,0.9072013758055513,per_group
103,0.00027506941454470473,0.0,0.0,0.0,0.0,0.5,0.0,0.3771280310574876,0.0,0.15328018669140042,0.39768105349741245,0.5509612401888129,0.39768105349741245,per_group
104,0.001142863061075147,0.0,0.0,0.2222222222222222,0.2222222222222222,0.6666666666666666,0.0,0.5100307021048163,0.0,0.15328018669140042,0.9178559060416227,1.0711360927330231,0.9178559060416227,per_group
105,0.17836402098590548,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.7456305437354583,0.0,0.15328018669140042,0.8829843058638118,1.0362644925552122,0.8829843058638118,per_group
106,0.17151219172834253,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.30522313306532617,0.0,0.15328018669140042,0.3040806098927337,0.45736079658413414,0.3040806098927337,per_group
107,0.0012169027024726867,0.0,0.0,0.25,0.25,0.5,0.0,0.38988141851657765,0.0,0.15328018669140042,0.7781591417962197,0.9314393284876201,0.7781591417962197,per_group
108,0.000607849924410869,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5540964260094746,0.0,0.15328018669140042,0.6019348570154871,0.7552150437068875,0.6019348570154871,per_group
109,0.351413960749796,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.331761511786972,0.0,0.15328018669140042,0.3866566689899734,0.5399368556813738,0.3866566689899734,per_group
11,0.0014632281999800575,0.5,0.5,0.2857142857142857,0.2857142857142857,0.5,0.0,0.36034199116711885,0.0,0.15328018669140042,2.0700133296268675,2.223293516318268,2.0700133296268675,per_group
110,0.00047209494799009885,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.615426718966497,0.0,0.15328018669140042,0.6264126722077277,0.7796928588991281,0.6264126722077277,per_group
111,0.17195145735672107,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.27202787516809546,0.0,0.15328018669140042,0.2909782129851929,0.4442583996765933,0.2909782129851929,per_group
112,0.0012764145015685777,0.5,0.5,1.0,1.0,0.16666666666666666,0.0,0.09407153392734362,0.0,0.15328018669140042,2.768192326013498,2.921472512704898,2.768192326013498,per_group
113,0.3483301994759072,0.0,0.0,0.0,0.0,0.5,0.0,0.4514597200585881,0.0,0.15328018669140042,0.5666357811223978,0.7199159678137982,0.5666357811223978,per_group
114,0.00034116809531635137,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6033967590842256,0.0,0.15328018669140042,0.6215483175137497,0.7748285042051501,0.6215483175137497,per_group
115,0.17894555694321362,0.5,0.5,0.0,0.0,0.5,0.0,0.6004980210911126,0.0,0.15328018669140042,1.8084972445223302,1.9617774312137306,1.8084972445223302,per_group
116,0.8050738415521412,0.0,0.0,0.4,0.4,0.6666666666666666,0.0,0.34153210494555175,0.0,0.15328018669140042,1.4386955252410103,1.5919757119324107,1.4386955252410103,per_group
117,0.807897612182843,0.5,0.5,0.5,0.5,0.3333333333333333,0.0,0.21459053384750607,0.0,0.15328018669140042,2.5223817383874056,2.6756619250788063,2.5223817383874056,per_group
118,0.0011400424758337981,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.35242593473410416,0.0,0.15328018669140042,0.2548128708592414,0.40809305755064185,0.2548128708592414,per_group
119,0.17470403294487347,0.5,0.5,0.0,0.0,0.3333333333333333,0.0,0.3326661067454967,0.0,0.15328018669140042,1.5663345358514142,1.7196147225428147,1.5663345358514142,per_group
12,0.0007377279603909614,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2808014014456602,0.0,0.15328018669140042,0.22600213173768668,0.3792823184290871,0.22600213173768668,per_group
120,0.0005232469523422679,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6666666666666666,0.0,0.4028022579090526,0.0,0.15328018669140042,0.9699547771579196,1.12323496384932,0.9699547771579196,per_group
