dataset,protected_attribute,nodes,edges,budget,budget_ratio,target_alpha,rr_sets,mc_runs_eval,population_size,generations,run_count,mean_f_score,std_f_score,mean_mf,std_mf,mean_dcv_shortfall,std_dcv_shortfall,mean_dcv_disparity,std_dcv_disparity,mean_spread,std_spread,mean_runtime_seconds,std_runtime_seconds,target_coverage_pass_rate,dcv_shortfall_zero_rate,fairness_gate_pass_rate,scalability_pass_rate,fairness_quality_pass_rate,size_class,verdict,embedding_method,community_method,optimizer_mode,diffusion_model,ris_mode,candidate_pool_size,graphsage_training_target,graphsage_hidden_dim,graphsage_embedding_dim,graphsage_epochs_run,graphsage_epochs,use_mf_lift,mf_lift_rounds,mf_lift_candidate_limit,shortfall_repair_rounds,shortfall_repair_candidate_limit,primary_dcv_mode,fscore_mode
rice_subset,color,445.0,19320.0,70.0,0.15730337078651685,0.8,2048.0,1000.0,60.0,50.0,1,0.1974929517892347,0.0,0.2186799999999999,0.0,0.0,0.0,0.0847481928430611,0.0,117.173,0.0,253.56050989999855,0.0,1.0,1.0,1.0,1.0,1.0,small,GOOD,graphsage,leiden,ea_memetic,ic,weak_group_weighted,223.0,combined_fairness_gain,32.0,64.0,100.0,,True,8.0,600.0,,,shortfall,shortfall_primary
graph_spa_500_0,age,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,1,0.0885742721611489,0.0,0.095219298245614,0.0,0.0,0.0,0.0265801043378603,0.0,51.513333333333335,0.0,6.042740299999423,0.0,1.0,1.0,0.0,0.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,512.0,300.0,20.0,12.0,2,-0.00313645107848615,0.03299234547591223,0.07178326474622765,0.005761610809668131,0.06571841071575345,0.02096800894383648,0.036805220435841654,0.02505090288963042,40.875,0.13435028842544242,17.07015544999922,0.4224219848362075,0.0,0.0,0.0,1.0,0.0,small,NEEDS_WORK,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,50.0,,,,,,,shortfall,shortfall_primary
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,1024.0,1000.0,40.0,30.0,2,-0.030707802679467,0.0,0.0676993464052287,0.0,0.0833666103569805,0.0,0.0601621549108611,0.0,41.213,0.0,87.9434768000001,14.016584572090203,0.0,0.0,0.0,1.0,0.0,small,NEEDS_WORK,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,combined_fairness_gain,32.0,64.0,71.0,,,,,,,shortfall,shortfall_primary
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,,512.0,300.0,12.0,5.0,1,-0.0005648775424325903,0.0,0.0640329218106996,0.0,0.06516267689556478,0.0,0.06516267689556478,0.0,41.083333333333336,0.0,7.693611699998655,0.0,1.0,0.0,0.0,1.0,0.0,small,NEEDS_WORK,graphsage,leiden,ea_memetic,ic,weak_group_weighted,150.0,,,,,,,,,,,disparity,disparity_primary
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,1.0,2048.0,1000.0,60.0,50.0,1,0.0193239320509955,0.0,0.0688765432098765,0.0,0.0409786223277909,0.0,0.0342959553243599,0.0,41.566,0.0,266.25966830000107,0.0,0.0,0.0,0.0,1.0,0.0,small,NEEDS_WORK,graphsage,leiden,ea_memetic,ic,weak_group_weighted,400.0,combined_fairness_gain,32.0,64.0,70.0,,,,,,,shortfall,shortfall_primary
graph_spa_500_0,ethnicity,500.0,1689.0,40.0,0.08,1.0,1024.0,300.0,40.0,30.0,1,0.0170689369409933,0.0,0.0682441700960219,0.0,0.0424386381631037,0.0,0.0349463799676992,0.0,41.34666666666666,0.0,58.92299339999954,0.0,0.0,0.0,0.0,1.0,0.0,small,NEEDS_WORK,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,32.0,64.0,71.0,,,,,,,shortfall,shortfall_primary
graph_spa_500_0,ethnicity,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,1,0.0945745100146906,0.0,0.0977777777777777,0.0,0.0,0.0,0.0128130710523486,0.0,51.68333333333333,0.0,4.979714299997795,0.0,1.0,1.0,0.0,0.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary
graph_spa_500_0,gender,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,1,0.0999242388808616,0.0,0.1018300653594771,0.0,0.0,0.0,0.0076233059144617,0.0,51.70333333333333,0.0,5.795695499999056,0.0,1.0,1.0,0.0,0.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,250.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary
graph_spa_500_0,region,500.0,1689.0,50.0,0.1,0.8,512.0,300.0,12.0,8.0,1,0.083288130846822,0.0,0.0886700336700336,0.0,0.0,0.0,0.0215276112928466,0.0,51.65,0.0,47.17778309999994,0.0,1.0,1.0,0.0,0.0,1.0,small,EXCELLENT,graphsage,leiden,ea_memetic,ic,weak_group_weighted,300.0,combined_fairness_gain,16.0,32.0,30.0,,True,5.0,300.0,,,shortfall,shortfall_primary
