cluster_id,size
0,40
1,39
2,47
3,20
4,6
5,45
6,33
7,16
8,21
9,21
10,13
11,10
12,17
13,28
14,7
15,9
16,33
17,18
18,3
19,8
20,20
21,13
22,6
23,11
24,6
25,2
26,7
27,1
