rank,node
1,10
2,12
3,123
4,126
5,13
6,138
7,140
8,15
9,156
10,178
11,183
12,206
13,21
14,237
15,238
16,250
17,265
18,273
19,275
20,28
21,295
22,300
23,312
24,325
25,391
26,404
27,422
28,430
29,436
30,447
31,449
32,45
33,458
34,471
35,476
36,484
37,58
38,70
39,81
40,85
