epoch,train_loss,validation_loss
1,0.008036118932068348,0.0039878417737782
2,0.0043853758834302425,0.003702133195474744
3,0.004019021522253752,0.004528330639004707
4,0.004767564125359058,0.004397283773869276
5,0.004610705655068159,0.0037865277845412493
6,0.004028890281915665,0.0032464219257235527
7,0.0036019186954945326,0.002955999691039324
8,0.0033376121427863836,0.0028801034204661846
9,0.003314005210995674,0.002922278828918934
10,0.003356769448146224,0.0029831614810973406
11,0.0034354848321527243,0.0029961341060698032
12,0.0034079495817422867,0.002947821980342269
13,0.003357349196448922,0.0028626215644180775
14,0.003317019669339061,0.0027784828562289476
15,0.003220607526600361,0.0027205576188862324
16,0.003146740375086665,0.0027050881180912256
17,0.003116910345852375,0.002725822851061821
18,0.0030885362066328526,0.0027594692073762417
19,0.0031169946305453777,0.0027787312865257263
20,0.0031307691242545843,0.0027679428458213806
21,0.003068712307140231,0.0027292429003864527
22,0.003020277014002204,0.0026748531963676214
23,0.0030134273692965508,0.0026189847849309444
24,0.0029559838585555553,0.0025704987347126007
25,0.0029012381564825773,0.0025344376917928457
26,0.0028601931408047676,0.0025100347120314837
27,0.002864131471142173,0.002489302074536681
28,0.0028448577504605055,0.002461319090798497
29,0.0028237146325409412,0.0024238605983555317
30,0.002795020816847682,0.0023823101073503494
31,0.002684293780475855,0.0023442127276211977
32,0.002662230748683214,0.0023101107217371464
33,0.002650446956977248,0.0022758720442652702
34,0.0025948775000870228,0.00223536160774529
35,0.002577441046014428,0.0021850313059985638
36,0.0025087303947657347,0.0021293554455041885
37,0.002490486018359661,0.002078411867842078
38,0.002431809902191162,0.002033175202086568
39,0.002359732985496521,0.0019836321007460356
40,0.0023081328254193068,0.001919614733196795
41,0.0022689641918987036,0.0018416251987218857
42,0.002169613493606448,0.0017694949638098478
43,0.002136384369805455,0.0016962317749857903
44,0.0020739755127578974,0.0016153434989973903
45,0.0019298712722957134,0.0015336490469053388
46,0.0018933310639113188,0.0014566469471901655
47,0.0017962988931685686,0.0013661333359777927
48,0.0017187993507832289,0.0012743095867335796
49,0.0016417730366811156,0.0012085732305422425
50,0.00153614382725209,0.0011372725712135434
