epoch,train_loss,validation_loss
1,0.004253460559993982,0.004199746996164322
2,0.003773313481360674,0.004236685577780008
3,0.0037380261346697807,0.003947888966649771
4,0.0035109424497932196,0.0036938227713108063
5,0.0032512391917407513,0.0035923912655562162
6,0.003192467847838998,0.0035540012177079916
7,0.0032053105533123016,0.0034868966322392225
8,0.0031177618075162172,0.003387137781828642
9,0.0030162399634718895,0.0033010595943778753
10,0.0029132431373000145,0.003250482492148876
11,0.002847414230927825,0.0032063694670796394
12,0.0028616527561098337,0.003123642411082983
13,0.0027611127588897943,0.0029907538555562496
14,0.002671000547707081,0.002858396852388978
15,0.002583717228844762,0.00276869535446167
16,0.002501277020201087,0.002681758953258395
17,0.0024277667980641127,0.00258006458170712
18,0.0023291052784770727,0.002512469654902816
19,0.0022860795725136995,0.0024602010380476713
20,0.0022131081204861403,0.0023512709885835648
21,0.0021488198544830084,0.002228622557595372
22,0.0020544021390378475,0.0021428652107715607
23,0.002019402803853154,0.002030843636021018
24,0.0018849794287234545,0.0019183086697012186
25,0.0018246067920699716,0.0018307446734979749
26,0.0017777429893612862,0.001708594965748489
27,0.0016337729757651687,0.0016030926490202546
28,0.00153723219409585,0.0015210512792691588
29,0.0014996312092989683,0.001435900921933353
30,0.0014425822300836444,0.0013726127799600363
31,0.0013098365161567926,0.001314364722929895
32,0.0013053896836936474,0.0012484447797760367
33,0.0012288169236853719,0.0012022203300148249
34,0.0011735232546925545,0.0011578649282455444
35,0.0011804308742284775,0.001120706438086927
36,0.001093731145374477,0.001081401715055108
37,0.0011299323523417115,0.001047768397256732
38,0.0010508521227166057,0.0010192332556471229
39,0.001104976050555706,0.0009953246917575598
40,0.0009881427977234125,0.0009730322635732591
41,0.0009637426119297743,0.0009521506144665182
42,0.0009291866444982588,0.0009355003130622208
43,0.0009819006081670523,0.0009194468730129302
44,0.000989774358458817,0.0009084477205760777
45,0.0009564317879267037,0.0009039316209964454
46,0.0008829780854284763,0.0008976352401077747
47,0.000922695966437459,0.000893103308044374
48,0.0009254891192540526,0.0008886766736395657
49,0.0008515478693880141,0.0008853455074131489
50,0.0009614049922674894,0.0008862519753165543
