rank,node
1,103
2,132
3,135
4,139
5,142
6,150
7,158
8,202
9,225
10,244
11,263
12,27
13,275
14,28
15,285
16,312
17,314
18,318
19,328
20,339
21,352
22,367
23,370
24,388
25,423
26,426
27,437
28,438
29,463
30,464
31,48
32,487
33,498
34,500
35,51
36,52
37,57
38,6
39,66
40,96
