community_id,community_size
0,39
1,68
2,51
3,17
4,36
5,40
6,35
7,30
8,107
9,2
10,1
11,4
12,2
13,53
14,1
15,1
16,1
17,2
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
