epoch,train_loss,validation_loss
1,0.009816164150834084,0.006416774354875088
2,0.008624527603387833,0.0060499669052660465
3,0.008318132720887661,0.005731762852519751
4,0.00800942163914442,0.005648438818752766
5,0.0073828003369271755,0.005790274124592543
6,0.007367006503045559,0.005871197674423456
7,0.007240209728479385,0.005688999313861132
8,0.006762519013136625,0.005400534253567457
9,0.006755830254405737,0.005128385033458471
10,0.006743574980646372,0.004976111464202404
11,0.006559294182807207,0.004883874207735062
12,0.006420563440769911,0.004851260222494602
13,0.006408617366105318,0.004928883630782366
14,0.006250303704291582,0.0050029028207063675
15,0.006286685820668936,0.004879503045231104
16,0.006129533052444458,0.004625714384019375
17,0.005907196085900068,0.004373396746814251
18,0.005778751336038113,0.0041877105832099915
19,0.005327645223587751,0.004062195774167776
20,0.005805572960525751,0.00399761600419879
21,0.005397796165198088,0.0039911880157887936
22,0.005292427726089954,0.003976874519139528
23,0.005318767856806517,0.0038370457477867603
24,0.005072619765996933,0.003634659107774496
25,0.004905437119305134,0.003451882628723979
26,0.005077975802123547,0.003329706145450473
27,0.004968355409801006,0.0032667757477611303
28,0.004655425902456045,0.0032690248917788267
29,0.004079145845025778,0.003172078635543585
30,0.004195511806756258,0.0029203593730926514
