rank,node
1,1
2,10
3,12
4,122
5,13
6,138
7,139
8,140
9,141
10,175
11,178
12,187
13,192
14,196
15,21
16,223
17,237
18,238
19,243
20,257
21,262
22,275
23,309
24,312
25,325
26,37
27,392
28,404
29,422
30,429
31,43
32,430
33,436
34,440
35,441
36,443
37,447
38,449
39,45
40,456
41,458
42,463
43,471
44,476
45,480
46,481
47,485
48,492
49,70
50,81
