node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score
1,0.6399780911231271,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.0,0.6107933752163384,1.199877771448482
10,0.3581390031946372,0.5,0.25,0.0,0.0,0.5,0.0,0.4869914497831161,1.3454938821494926
100,0.3579944218604202,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6044607582043787,0.9090470652507123
101,0.18092813902087188,0.0,0.0,0.0,0.0,0.5,0.0,0.4023277227324561,0.5375807864075928
102,0.3597561942468063,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8060725435702892,0.9909250200675468
103,0.18005838821050357,0.0,0.0,0.0,0.0,0.5,0.0,0.3771280310574876,0.5268920841703475
104,0.17993327890935448,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.5100307021048163,0.774410020522919
105,0.45401996095322744,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.7456305437354583,1.0327328568281091
106,0.0899889510196698,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.30522313306532617,0.35174818560656596
107,0.18127721838555358,0.0,0.0,0.125,0.125,0.5,0.0,0.38988141851657765,0.6578466202765186
108,0.177677107435048,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5540964260094746,0.6793458789416568
109,0.26680142454256517,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.331761511786972,0.48613226856125114
11,0.26578694948397563,0.5,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,0.36034199116711885,1.3730448039627734
110,0.003845867863193176,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.615426718966497,0.5821961284241673
111,0.17992852701871587,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.27202787516809546,0.40142778564700593
112,0.00386009394744405,0.5,0.25,0.5,0.5,0.16666666666666666,0.0,0.09407153392734362,1.2736640126674814
113,0.27643561484856866,0.0,0.0,0.0,0.0,0.5,0.0,0.4514597200585881,0.6240888184174334
114,0.5364619526918392,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6033967590842256,0.950215403851311
115,0.360240148702922,0.5,0.25,0.0,0.0,0.5,0.0,0.6004980210911126,1.3923673125284903
116,0.6431816990785677,0.0,0.0,0.2,0.2,0.6666666666666666,0.0,0.34153210494555175,1.1201733646665513
117,0.7137884581139774,0.5,0.25,0.25,0.25,0.3333333333333333,0.0,0.21459053384750607,1.6521548008854534
118,0.4401212882198405,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.35242593473410416,0.6157219423141966
119,0.09018072970376347,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.3326661067454967,1.0128596201574998
12,0.0015162334035984828,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2808014014456602,0.2800485906274497
120,0.09054234381756078,0.0,0.0,0.14285714285714285,0.14285714285714285,0.6666666666666666,0.0,0.4028022579090526,0.7006910200263897
121,0.34831978689123705,0.5,0.25,0.0,0.0,0.5,0.0,0.36401288133226756,1.2894290033567728
122,0.0902259560313326,1.0,0.5,0.0,0.0,0.16666666666666666,0.0,0.18365775973356552,1.5199546064486922
123,0.1779988544964325,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5387869891116697,0.7567806604588373
124,0.6040516541852493,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6641461345953745,1.105161278434491
125,0.18009767765214954,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4702141794444623,0.4808207128009563
126,0.17951038446151976,0.5,0.25,0.14285714285714285,0.14285714285714285,0.5,0.0,0.3593719592775375,1.3122631956912216
127,0.08989736100724836,0.0,0.0,0.09090909090909091,0.09090909090909091,0.5,0.0,0.5238369370389808,0.6133720184297571
128,0.4481994070294575,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5732280691263235,0.9596974792378163
129,0.0018336585956977441,0.5,0.25,0.0,0.0,0.5,0.0,0.4920933149473464,1.098120886995927
13,0.18020788816836408,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2705518571034966,0.40103293122592015
130,0.08960379777843591,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.49735236806272554,0.6783302723366621
131,0.09011013614045445,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5709633507476549,0.6247957689307134
132,0.08915685209464971,0.0,0.0,0.2,0.2,1.0,0.0,0.6250539932170545,1.0124313937530767
133,0.0016153837622306672,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.23736565522331698,0.1794103640562216
134,0.3597233240258476,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6041308776931644,0.8267920112286925
135,0.3592785756448755,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4146125705655652,0.5840066978443055
136,0.17931821276391463,0.0,0.0,0.0,0.0,0.5,0.0,0.34462873444849296,0.5133742427141375
137,0.0907999582195747,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.493885727111026,1.244447594931446
138,0.3621754901473707,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.7379562632065787,0.9653720150524576
139,0.003913704935429614,0.5,0.25,0.0,0.0,0.8333333333333334,0.0,0.8798029478716382,1.4213274392701227
14,0.09024131333203053,0.5,0.25,0.0,0.0,0.5,0.0,0.4710152867101239,1.1515750340164708
140,0.001609795671146779,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.28665974590214793,0.9324574219973286
141,0.09059355466905447,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.7955956715355413,0.714987090215888
142,0.001437014233468048,0.0,0.0,0.0,0.0,0.5,0.0,0.2822846959206998,0.36391978833170757
143,0.0019631210983527244,0.0,0.0,0.0,0.0,0.0,0.0,0.038951622419377246,0.016954833736597806
144,0.17979818944691428,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5066313179981924,0.6618445931454503
145,0.0016977368638778033,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.4442202236889629,0.5955431719469664
146,0.09044362596918144,0.0,0.0,0.0,0.0,0.5,0.0,0.5321257102690531,0.5261608222860483
147,0.0017291143964453454,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2331442904864389,0.26113476293875393
148,0.18088603893714392,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.4315986533921501,0.4659263552795274
149,0.3567784142369525,1.0,0.5,0.0,0.0,0.5,0.0,0.48408280146603483,1.9933780105522807
15,0.08905990280707196,0.0,0.0,0.0,0.0,0.5,0.0,0.4834284798456444,0.5057133239032081
150,0.003111819296275137,0.5,0.25,0.1111111111111111,0.1111111111111111,0.8333333333333334,0.0,0.5312133502058465,1.3924413913675089
151,0.26785191393020513,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4451031131524199,0.6988709183454449
152,0.09039676208531455,0.0,0.0,0.0,0.0,0.5,0.0,0.363233170667254,0.4585710017266218
153,0.09237857440011871,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.41456048152618147,0.39715586135722236
154,0.09020885994358395,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2689155968087661,0.3373791073506819
155,0.2759990363848348,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5888481449518027,0.845405250116772
156,0.0019163818455461062,0.5,0.25,0.0,0.0,0.16666666666666666,0.0,0.23670605360287258,0.8293572220663646
157,0.09010667047585336,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.23685031256458514,0.32448146102559805
158,0.17926373870932577,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.4846456247086631,0.7637873114244377
159,0.17922917733931773,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.48847449472497073,1.304183555360844
16,0.17972471973927137,0.0,0.0,0.25,0.25,0.16666666666666666,0.0,0.15872271809396077,0.5226297243884076
160,0.0020029208806971706,0.0,0.0,0.0,0.0,0.0,0.0,0.02493984371471079,0.011377982102372335
161,0.17768845718887905,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.42537004359108593,1.277863270801983
162,0.1783453137710378,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5542144298183898,0.6798608249004157
163,0.2715715843546979,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.6085080382272722,1.4168366576725306
164,0.18023980562929504,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2498410840885009,0.3927709642425735
165,0.09064586119458011,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.264406586398231,0.9858814040621651
166,0.27418243265884934,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.28340834912769347,0.47195770917893853
167,0.2757071107123201,1.0,0.5,0.0,0.0,0.8333333333333334,0.0,0.5963907977138536,2.1482179632508323
168,0.1805578964740729,0.0,0.0,0.125,0.125,0.6666666666666666,0.0,0.46935953900146576,0.7724676764657706
169,0.003279549349620497,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2608729617856333,0.2733115359256543
17,0.0014777051697628036,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3507379445415178,0.30799623810210774
170,0.26972575471486004,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3948509644843339,0.680081747427469
171,0.17980145265000946,0.5,0.25,0.0,0.0,0.16666666666666666,0.0,0.1480273068562799,0.918405272930852
172,0.09230946356960293,0.0,0.0,0.0,0.0,0.5,0.0,0.4204011690329308,0.4827770921118944
173,0.7151529057497746,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.5869025972347724,1.552034739585418
174,0.08994928642876289,0.5,0.25,0.0,0.0,0.5,0.0,0.33626306716606064,1.0974697273665581
175,0.0019374468208069994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013562127745648995
176,0.17955836783841933,0.0,0.0,0.0,0.0,0.5,0.0,0.4246353167808479,0.5455449841992327
177,0.18070101293974722,0.0,0.0,0.0,0.0,0.0,0.0,0.13115251311266551,0.17895171430288925
178,0.17945976908504346,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5024813141427539,0.6599476973499653
179,0.18117580899009575,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.5057378621904429,1.3124515445025775
18,0.3572485060346638,0.0,0.0,0.06666666666666667,0.06666666666666667,0.5,0.0,0.698579769058572,0.8461725285143602
180,0.7099664612625,0.0,0.0,0.2,0.2,0.8333333333333334,0.0,0.6131178751107633,1.358890339594722
181,0.359001227200786,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5832340793449523,0.8179278241118644
182,0.2655124355009688,0.0,0.0,0.1,0.1,0.6666666666666666,0.0,0.5474908291507019,0.8381883698442922
183,0.7128458449804839,0.0,0.0,0.0,0.0,0.5,0.0,0.418222134114702,0.9162809451322194
184,0.0899911006844825,0.0,0.0,0.0,0.0,0.5,0.0,0.3452258886567677,0.45108412594184477
185,0.3622384914042083,0.5,0.25,0.0,0.0,0.6666666666666666,0.0,0.6667387970714884,1.5035957961448743
186,0.09025828437002553,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.23693971449224557,0.9746233515225826
187,0.002282338414386093,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.5821946089129065,0.6511421471218996
188,0.08956475248154706,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.47951314558323505,0.6711672516370437
189,0.17999454137914134,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.25075199793461295,0.39296364480591073
19,0.0024728675313730034,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.48402190880795687,0.5286731041284772
190,0.17926837150496092,0.0,0.0,0.0,0.0,0.5,0.0,0.4513554943655673,0.5560300577996995
191,0.17959977717112713,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.17003871295499653,0.2770686625351209
192,0.09032896129983699,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.40591277281029,0.39226204870066855
193,0.36207966630757576,0.0,0.0,0.0,0.0,0.5,0.0,0.48696009192882256,0.698239803186832
194,0.09119719364891099,0.0,0.0,0.1111111111111111,0.1111111111111111,0.5,0.0,0.4592171641956837,0.6086360123436223
195,0.002059229091382499,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.23359730623707883,0.2615470495254659
196,0.3578447194410537,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.8068892705426138,0.9065803451591166
197,0.7110138303610489,0.0,0.0,0.1,0.1,0.8333333333333334,0.0,0.5922093390668894,1.251260083546157
198,0.002540854402793498,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.14787414532116838,0.14426158954375612
199,0.6371925542678805,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,0.0,0.355528892513445,0.9811034878500372
2,0.18074584029905472,0.5,0.25,0.0,0.0,0.8333333333333334,0.0,0.6711832068403442,1.4616620376121428
20,0.17816076415365498,0.0,0.0,0.0,0.0,0.5,0.0,0.3494562833790107,0.5144950482591627
200,0.26996506421484007,0.5,0.25,0.0,0.0,0.5,0.0,0.4597327448138385,1.2728686428759235
201,0.0015966518627399718,0.5,0.25,0.0,0.0,0.16666666666666666,0.0,0.17307234556914977,0.8036799278649112
202,0.330888494345813,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1494449112813628,0.37473324388794754
203,0.27447559691940016,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5622297590164235,0.7503581547834829
204,0.1784274059569322,0.0,0.0,0.0,0.0,0.5,0.0,0.5002814870526724,0.5750117789909215
205,0.25177375499524834,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.2658157133073306,1.0992345804862726
206,0.17870473058202102,0.0,0.0,0.0,0.0,1.0,0.0,0.8858409973521225,0.9794297103482636
207,0.1775089810186442,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4636562730605595,0.6430521292706081
208,0.09072883468350022,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.29121688747651625,0.5133302726023901
209,0.43137518935474023,0.0,0.0,0.0,0.0,0.5,0.0,0.35108762590416126,0.6923976829099826
21,0.0027331614779221108,0.5,0.25,0.0,0.0,0.8333333333333334,0.0,0.5620049580363939,1.2933818629157698
210,0.360585810041004,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.38417262058897345,1.2227457819309588
211,0.09076986291219691,0.0,0.0,0.0,0.0,0.5,0.0,0.6179382204906431,0.5607141922347951
212,0.0947545078099183,0.0,0.0,0.0,0.0,0.5,0.0,0.48533554675844237,0.5104623741703198
213,0.0909683347354858,0.0,0.0,0.09090909090909091,0.09090909090909091,0.6666666666666666,0.0,0.594081706496881,0.7255529411560167
214,0.18084372448240973,0.0,0.0,0.08333333333333333,0.08333333333333333,0.6666666666666666,0.0,0.590817945393237,0.7795844519616483
215,0.26941293977873604,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2693914929523548,0.4630123216927238
216,0.25502240468100273,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.33555639829811557,0.4794049092626148
217,0.36430981552362324,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6073409501295014,0.8312865842516701
218,0.09019007270678599,0.0,0.0,0.14285714285714285,0.14285714285714285,0.5,0.0,0.35954258589465643,0.5998072281097556
219,0.17849810075099418,0.5,0.25,0.0,0.0,0.3333333333333333,0.0,0.3498612168859463,1.081559823946741
22,0.6397009808690445,0.0,0.0,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.0,0.38985601045891577,1.1037330907918972
220,0.0016573181364264366,0.0,0.0,0.0,0.0,0.5,0.0,0.43825282441183505,0.4264612524602325
221,0.0012571851977639333,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.4286054863097915,0.5056555574956847
222,0.0012136693314758935,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.21803942986030267,0.17139867380948753
223,0.001638906607147234,0.0,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.27582734396406894,0.4448115055439639
224,0.0018911204461862523,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5368285363777818,0.5493885321967764
