cluster_id,size
0,11
1,37
2,18
3,92
4,31
5,5
6,22
7,2
8,3
9,3
10,4
11,15
12,15
13,3
14,3
15,54
16,34
17,64
18,15
19,11
20,4
21,9
22,6
23,6
24,3
25,10
26,3
27,2
28,2
29,4
30,2
31,7
