node_id,cluster_id
0,0
1,1
10,2
100,3
101,4
102,5
103,6
104,7
105,5
106,8
107,9
108,10
109,11
11,12
110,7
111,4
112,13
113,3
114,14
115,15
116,16
117,17
118,18
119,7
12,12
120,19
121,20
122,21
123,22
124,23
125,24
126,21
127,25
128,26
129,16
13,23
130,11
131,27
132,9
133,28
134,24
135,29
136,6
137,20
138,30
139,9
14,31
140,7
141,24
142,9
143,32
144,26
145,13
146,33
147,31
148,31
149,34
15,31
150,18
151,35
152,31
153,30
154,36
155,37
156,17
157,38
158,23
159,31
16,8
160,15
161,21
162,37
163,4
164,30
165,39
166,21
167,22
168,40
169,30
17,24
170,41
171,24
172,41
173,40
174,4
175,34
176,8
177,42
178,15
179,32
18,29
180,39
181,16
182,4
183,4
184,31
185,29
186,15
187,43
188,44
189,30
19,37
190,25
191,30
192,45
193,46
194,34
195,15
196,47
197,24
198,35
199,24
2,0
20,35
200,5
201,31
202,33
203,7
204,48
205,49
206,16
207,7
208,15
209,50
21,6
210,15
211,49
212,51
213,21
214,31
215,42
216,30
217,31
218,43
219,49
22,31
220,10
221,22
222,39
223,36
224,52
225,53
226,54
227,52
228,54
229,54
23,25
230,52
231,55
232,55
233,52
234,53
235,54
236,52
237,54
238,43
239,56
24,41
240,43
241,57
242,56
243,58
244,56
245,59
246,60
247,57
248,59
249,61
25,4
250,60
251,62
252,62
253,62
254,57
255,61
256,63
257,63
258,64
259,63
26,49
260,64
261,49
262,49
263,58
264,65
265,66
266,67
267,68
268,69
269,70
27,31
270,65
271,71
272,72
273,66
274,73
275,66
276,71
277,66
278,74
279,75
28,15
280,71
281,76
282,77
283,78
284,79
285,80
286,69
287,81
288,78
289,82
29,83
290,75
291,80
292,84
293,85
294,86
295,76
296,81
297,71
298,87
299,73
3,1
30,18
300,88
301,87
302,77
303,86
304,89
305,68
306,90
307,65
308,71
309,71
31,31
310,91
311,69
312,92
313,87
314,81
315,93
316,66
317,94
318,67
319,94
32,83
320,76
321,95
322,67
323,74
324,67
325,91
326,96
327,76
328,74
329,79
33,36
330,87
331,92
332,94
333,58
334,96
335,71
336,97
337,91
338,80
339,98
34,28
340,98
341,87
342,95
343,99
344,84
345,72
346,87
347,71
348,98
349,93
35,16
350,71
351,65
352,71
353,76
354,98
355,69
356,93
357,91
358,89
359,65
36,22
360,100
361,70
362,93
363,90
364,71
365,65
366,71
367,76
368,71
369,93
37,31
370,76
371,66
372,91
373,68
374,87
375,70
376,80
377,71
378,70
379,97
38,19
380,92
381,67
382,101
383,94
384,81
385,77
386,76
387,66
388,86
389,99
39,30
390,102
391,87
392,92
393,81
394,103
395,104
396,84
397,91
398,67
399,71
4,0
40,15
400,92
401,88
402,71
403,81
404,102
405,103
406,91
407,65
408,66
409,66
41,4
410,80
411,96
412,96
413,76
414,91
415,89
416,74
417,85
418,88
419,91
42,41
420,86
421,96
422,76
423,71
424,81
425,77
426,101
427,94
428,105
429,79
43,36
430,100
431,97
432,99
433,106
434,92
435,97
436,94
437,106
438,82
439,106
44,34
440,79
441,87
442,93
443,86
444,76
445,94
446,103
447,98
448,71
449,58
45,10
450,81
451,100
452,71
453,76
454,84
455,73
456,105
457,104
458,103
459,98
46,38
460,86
461,107
462,107
463,107
464,108
465,108
466,108
467,108
468,109
469,109
47,33
470,108
471,109
472,108
473,108
474,108
475,108
476,110
477,110
478,109
479,87
48,22
480,87
481,47
482,111
483,112
484,112
485,113
486,113
487,113
488,111
489,47
49,18
490,113
491,47
492,114
493,114
494,115
495,114
496,114
497,115
498,116
499,116
5,2
50,9
51,46
52,30
53,11
54,83
55,51
56,50
57,44
58,19
59,21
6,12
60,48
61,31
62,21
63,117
64,21
65,35
66,11
67,28
68,117
69,45
7,2
70,22
71,28
72,16
73,24
74,21
75,23
76,31
77,25
78,83
79,24
8,12
80,16
81,11
82,21
83,36
84,30
85,27
86,14
87,26
88,21
89,46
9,12
90,46
91,42
92,37
93,10
94,29
95,15
96,29
97,16
98,10
99,14
