dataset,community_method,diffusion_model,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,ml_backend,gnn_model_type,ris_enabled,ris_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
facebook_combined,louvain,ic,cea_fim,comparator,"[107, 1684]",52.0,50.0,2,True,0.0,0.6058416750638316,-0.3029208375319158,4039,full,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=facebook_combined_budget2_louvain_cea_fim_history.csv,0.30416889999833074,0.021101900001667673,0.3252707999999984,2,3,2,3,False,,,,,,,,,,off,none,,False,off,,,8,0.0,0.5,"0,10,13",0.8348811587172857,16,548,19,252.4375,181.08456890014125,hybrid_siea,0.0
facebook_combined,louvain,ic,hybrid_siea,proposed,"[107, 1684]",52.0,50.0,2,True,0.0,0.6058416750638316,-0.3029208375319158,4039,full,True,True,True,True,False,off,history=facebook_combined_budget2_louvain_hybrid_siea_history.csv,0.7547295999975177,0.02365559999816469,0.7783851999956823,2,3,2,3,False,,,,,,,,,,off,none,,False,off,,,8,0.0,0.5,"0,10,13",0.8348811587172857,16,548,19,252.4375,181.08456890014125,hybrid_siea,0.0
