rank,node
1,10
2,106
3,12
4,127
5,128
6,13
7,138
8,144
9,15
10,152
11,156
12,157
13,196
14,229
15,237
16,250
17,254
18,263
19,265
20,274
21,277
22,287
23,296
24,318
25,324
26,325
27,345
28,446
29,463
30,466
31,470
32,481
33,495
34,497
35,498
36,57
37,76
38,85
39,92
40,97
