node_id,ris_score,fair_ris_score,shortfall_gain,community_diversity_score,spread_proxy_score,combined_fairness_gain,fairness_ris_score,label_score
0,0.45454545454545453,0.5,0.5,0.0,0.1597266171827766,0.49664435,0.5,0.49664434790611267
1,0.45454545454545453,0.4552075740129587,0.0,0.0,0.21087783832504375,0.23518178,0.4552075740129587,0.2351817786693573
10,0.9090909090909091,0.5376009268878291,0.0,0.0,0.24652704555929658,0.33982182,0.5376009268878291,0.33982181549072266
100,0.09090909090909091,0.049999999999999996,0.0,0.08026755852842817,0.14442345670021678,0.043540254,0.049999999999999996,0.04354025423526764
101,0.09090909090909091,0.05376009268878291,0.0,0.7826086956521741,0.20179428834823113,0.10597313,0.05376009268878291,0.10597313195466995
102,0.18181818181818182,0.19999999999999998,0.2,0.5059288537549408,0.23664903618341313,0.24806248,0.19999999999999998,0.24806247651576996
103,0.2727272727272727,0.16128027806634873,0.0,0.2236024844720499,0.09949778476162453,0.120367415,0.16128027806634873,0.12036741524934769
104,0.09090909090909091,0.05376009268878291,0.0,0.0,0.30693758972424706,0.046221025,0.05376009268878291,0.04622102528810501
105,0.45454545454545453,0.5,0.5,0.5059288537549408,0.13663569717769616,0.5375082,0.5,0.5375081896781921
106,0.2727272727272727,0.14999999999999997,0.0,0.7826086956521741,0.104069298204565,0.16327032,0.14999999999999997,0.16327032446861267
107,0.2727272727272727,0.2731245444077752,0.0,0.2236024844720499,0.1695807253375298,0.16101143,0.2731245444077752,0.16101142764091492
108,0.8181818181818182,0.4838408341990461,0.0,0.08026755852842817,0.26986023492224737,0.3146934,0.4838408341990461,0.3146933913230896
109,0.2727272727272727,0.16128027806634873,0.0,0.08026755852842817,0.10271406859882526,0.108624555,0.16128027806634873,0.10862455517053604
11,0.36363636363636365,0.19999999999999998,0.0,0.0,0.12019769630929486,0.13079065,0.19999999999999998,0.13079065084457397
110,0.09090909090909091,0.05376009268878291,0.0,0.0,0.16345173745458022,0.03907163,0.05376009268878291,0.03907163068652153
111,0.5454545454545454,0.32256055613269746,0.0,0.7826086956521741,0.2661593297948927,0.27396402,0.32256055613269746,0.2739640176296234
112,0.45454545454545453,0.4552075740129587,0.0,0.2236024844720499,0.29001029229059283,0.25769353,0.4552075740129587,0.2576935291290283
113,0.5454545454545454,0.29999999999999993,0.0,0.5059288537549408,0.16621820708383211,0.23851359,0.29999999999999993,0.23851358890533447
114,0.6363636363636364,0.637290603618142,0.0,0.0,0.18085023047488968,0.32436714,0.637290603618142,0.32436713576316833
115,0.36363636363636365,0.21504037075513163,0.0,0.0,0.15977138623981232,0.13775852,0.21504037075513163,0.1377585232257843
116,0.7272727272727273,0.39999999999999997,0.0,0.5059288537549408,0.2715312804542858,0.30717644,0.39999999999999997,0.3071764409542084
117,0.7272727272727273,0.7999999999999999,0.8,0.08026755852842817,0.2770727164304635,0.80358607,0.7999999999999999,0.8035860657691956
118,0.5454545454545454,0.32256055613269746,0.0,0.0,0.2058394115419995,0.20596746,0.32256055613269746,0.20596745610237122
119,0.45454545454545453,0.26880046344391456,0.0,0.0,0.23943789414973488,0.17468478,0.26880046344391456,0.1746847778558731
12,0.8181818181818182,0.7783321184207338,0.0,0.0,0.7800274208362019,0.4312705,0.7783321184207338,0.4312705099582672
120,0.6363636363636364,0.3499999999999999,0.0,0.5059288537549408,0.18045219927458342,0.27093056,0.3499999999999999,0.27093055844306946
121,0.0,0.0,0.0,0.5059288537549408,0.04494987627549698,0.04222475,0.0,0.04222474992275238
122,0.2727272727272727,0.16128027806634873,0.0,0.08026755852842817,0.2704202812332826,0.11698076,0.16128027806634873,0.11698076128959656
123,0.36363636363636365,0.21504037075513163,0.0,0.7826086956521741,0.15110865655100067,0.20231792,0.21504037075513163,0.20231792330741882
124,0.2727272727272727,0.16128027806634873,0.0,0.0,0.05844421040809215,0.09975299,0.16128027806634873,0.0997529923915863
