community_id,community_size
0,480
1,46
2,327
3,76
4,55
5,76
6,24
7,212
8,66
9,150
10,2
11,3
12,90
13,48
14,5
15,259
16,19
17,230
18,222
19,231
20,63
21,25
22,79
23,50
24,23
25,4
26,98
27,323
28,40
29,40
30,38
31,2
32,7
33,3
34,2
35,94
36,2
37,3
38,4
39,2
40,2
41,3
42,12
43,2
44,2
45,2
46,2
47,2
48,2
49,2
50,2
51,15
52,2
53,6
54,2
55,2
56,6
57,2
58,3
59,2
60,2
61,2
62,2
63,2
64,2
65,4
66,3
67,2
68,2
69,3
70,2
71,2
72,3
73,3
74,2
75,2
76,2
77,2
78,2
79,4
80,2
81,2
82,4
83,9
84,2
85,3
86,2
87,2
88,4
89,3
90,3
91,2
92,2
93,2
94,2
95,2
96,2
97,2
98,2
99,2
100,3
101,2
102,2
103,2
104,2
105,3
106,5
107,2
108,2
109,2
110,9
111,2
112,2
113,2
114,2
115,2
116,2
117,3
118,2
119,2
120,2
