cluster_id,size
0,34
1,20
2,55
3,51
4,36
5,105
6,88
7,70
8,7
9,39
10,6
11,80
12,70
13,155
14,40
15,102
16,37
17,53
18,59
19,50
20,25
21,75
22,35
23,9
24,154
25,37
26,14
27,22
28,71
29,43
30,123
31,24
32,13
33,133
34,22
35,163
36,72
37,19
38,46
39,82
40,12
41,35
42,22
43,78
44,29
45,13
46,22
47,56
48,35
49,3
50,59
51,28
52,68
53,85
54,51
55,69
56,57
57,52
58,3
59,35
60,91
61,29
62,34
63,37
64,5
65,61
66,9
67,7
68,8
69,24
70,41
71,26
72,22
73,20
74,22
75,2
76,8
77,26
78,9
79,5
80,5
81,14
82,11
83,8
84,19
85,2
86,8
87,21
88,5
89,2
90,3
91,1
92,1
93,4
94,1
95,4
96,4
97,1
98,1
99,1
