rank,node
1,117
2,150
3,154
4,157
5,169
6,184
7,186
8,19
9,195
10,209
11,219
12,229
13,253
14,255
15,274
16,284
17,285
18,287
19,301
20,303
21,311
22,319
23,32
24,345
25,361
26,371
27,413
28,420
29,424
30,431
31,463
32,464
33,475
34,478
35,479
36,49
37,490
38,493
39,76
40,94
