epoch,train_loss,validation_loss
1,0.03323571756482124,0.022448554635047913
2,0.02552027441561222,0.016385449096560478
3,0.018884330987930298,0.0114585654810071
4,0.013559757731854916,0.007802312728017569
5,0.009494028054177761,0.006175236776471138
6,0.007584651466459036,0.007236722856760025
7,0.00832570530474186,0.009103371761739254
8,0.010167588479816914,0.009556591510772705
9,0.010540568269789219,0.00871916115283966
10,0.009522626176476479,0.007460826076567173
11,0.008374778553843498,0.006396368145942688
12,0.007302647456526756,0.005804616026580334
13,0.0067118145525455475,0.005560809746384621
14,0.006590003613382578,0.005517837591469288
15,0.006604208145290613,0.005573856178671122
16,0.006827103439718485,0.005638545844703913
17,0.006916197948157787,0.005661982111632824
18,0.0069645163603127,0.005633214488625526
19,0.006923908833414316,0.005564098246395588
20,0.0068380278535187244,0.005477061495184898
21,0.006620439700782299,0.005395625252276659
22,0.00652487063780427,0.005338417831808329
23,0.006409029010683298,0.005320187658071518
24,0.006274765823036432,0.005341270472854376
25,0.006243214476853609,0.00539079774171114
26,0.0062008630484342575,0.005443730391561985
27,0.006193140055984259,0.005470351781696081
28,0.006161279045045376,0.005451994016766548
29,0.006172719411551952,0.005388422403484583
30,0.0060505042783916,0.005296085029840469
