node_id,protected_group,community_id,degree,normalized_degree,pagerank,clustering_coefficient,k_core_number,community_size,community_id_encoded,neighbor_degree_mean,neighbor_degree_max,ris_coverage_proxy
10007042,1,0,0.018099548,0.018099548,0.012287684,0.0,0.4,1.0,0.0,0.105882354,0.29411766,0.4
10046442,1,0,0.06334842,0.06334842,0.04467705,0.0,1.0,1.0,0.0,0.11855204,0.5972851,0.2
10074432,0,1,0.009049774,0.009049774,0.0085154725,0.0,0.2,0.6363636,0.008547009,0.025641026,0.049773756,0.0
10077242,1,2,0.018099548,0.018099548,0.014268676,0.0,0.4,0.77272725,0.017094018,0.22714932,0.8733032,0.0
10093672,1,3,0.0,0.0,0.0015349535,0.0,0.0,0.15227273,0.025641026,0.018099548,0.018099548,0.0
10104672,1,4,0.004524887,0.004524887,0.0048406255,0.0,0.2,0.19090909,0.034188036,0.020361992,0.03167421,0.0
10107362,1,5,0.0,0.0,0.0018355488,0.0,0.0,0.1,0.042735044,0.009049774,0.009049774,0.0
10125152,0,6,0.0,0.0,0.0030452195,0.0,0.0,0.05,0.051282052,0.03167421,0.03167421,0.0
10125822,1,7,0.09049774,0.09049774,0.08964857,0.0,0.4,0.4568182,0.05982906,0.023701789,0.16289593,0.8
10130032,1,8,0.009049774,0.009049774,0.0076454207,0.0,0.4,0.15454546,0.06837607,0.06636501,0.14932127,0.2
10138132,2,0,0.16742082,0.16742082,0.116674826,0.0,1.0,1.0,0.0,0.07859014,0.5972851,0.0
10144442,1,9,0.004524887,0.004524887,0.0033563338,0.0,0.2,0.23636363,0.07692308,0.09954751,0.1402715,0.4
10166632,1,10,0.0,0.0,0.0004000022,0.0,0.0,0.52272725,0.08547009,0.18099548,0.18099548,0.0
10214802,1,11,0.0,0.0,0.012690343,0.0,0.0,0.0,0.094017096,0.0,0.0,0.4
10241462,1,12,0.0,0.0,0.008470262,0.0,0.0,0.0022727272,0.102564104,0.004524887,0.004524887,0.0
10241802,1,2,0.0,0.0,0.00076464063,0.0,0.0,0.77272725,0.017094018,0.8733032,0.8733032,0.0
10263662,1,13,0.013574661,0.013574661,0.018458515,0.0,0.2,0.13863637,0.11111111,0.0056561087,0.013574661,0.4
10270072,1,14,0.013574661,0.013574661,0.016985409,0.0,0.2,0.16136363,0.11965812,0.25791857,1.0,0.0
10270872,1,15,0.0,0.0,0.0032048433,0.0,0.0,0.006818182,0.12820514,0.009049774,0.009049774,0.0
10284152,0,1,0.004524887,0.004524887,0.00527953,0.0,0.2,0.6363636,0.008547009,0.018099548,0.027149322,0.8
1032291,0,1,0.004524887,0.004524887,0.005262369,0.0,0.2,0.6363636,0.008547009,0.5271493,1.0,0.2
10326,1,2,0.022624435,0.022624435,0.017333986,0.0,0.6,0.77272725,0.017094018,0.04223228,0.122171946,0.2
10332972,0,16,0.0,0.0,0.005027386,0.0,0.0,0.038636364,0.13675214,0.018099548,0.018099548,0.0
10348132,1,17,0.018099548,0.018099548,0.016005618,0.0,0.4,0.15227273,0.14529915,0.046153847,0.15384616,0.0
10367842,0,1,0.0,0.0,0.0012710884,0.0,0.0,0.6363636,0.008547009,1.0,1.0,0.2
10507892,1,18,0.0,0.0,0.0020868352,0.0,0.0,0.5159091,0.15384616,0.07239819,0.07239819,0.0
10523552,0,6,0.004524887,0.004524887,0.0062468112,0.0,0.2,0.05,0.051282052,0.4479638,0.8733032,0.0
10524,1,2,0.027149322,0.027149322,0.021031717,0.0,0.6,0.77272725,0.017094018,0.060116354,0.1719457,0.2
10545772,0,17,0.022624435,0.022624435,0.019989759,0.0,0.4,0.15227273,0.14529915,0.015082956,0.036199097,0.2
1058591,2,19,0.018099548,0.018099548,0.017107181,0.0,0.4,0.40681818,0.16239317,0.02081448,0.040723983,0.0
10599392,1,7,0.0,0.0,0.0026565103,0.0,0.0,0.4568182,0.05982906,0.022624435,0.022624435,0.0
10609292,1,4,0.004524887,0.004524887,0.0036375565,0.0,0.2,0.19090909,0.034188036,0.06787331,0.122171946,0.0
