generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
0,0.5,0.5,6.0,0.012,1.0,0.0,0.9711720116618078,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
1,0.5,0.5,6.0,0.012,1.0,0.0,0.9600932944606415,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
2,0.5,0.5,6.0,0.012,1.0,0.0,0.9595801749271137,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
3,0.5,0.5,6.0,0.012,1.0,0.0,0.9466744412050536,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
4,0.5,0.5,6.0,0.012,1.0,0.0,0.9408590864917397,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
5,0.5,0.5,6.0,0.012,1.0,0.0,0.9365830903790088,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
6,0.5,0.5,6.0,0.012,1.0,0.0,0.9278134110787175,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
7,0.5,0.5,6.0,0.012,1.0,0.0,0.9224878522837708,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
8,0.5,0.5,6.0,0.012,1.0,0.0,0.9208551992225461,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
9,0.5,0.5,6.0,0.012,1.0,0.0,0.9091933916423712,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
10,0.5,0.5,6.0,0.012,1.0,0.0,0.9092944606413995,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 14]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=14']"
11,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9115879494655008,"[271, 268, 95, 279]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 13, 7, 11]",{'__missing__': 4},"['271|g=__missing__|c=15', '268|g=__missing__|c=13', '95|g=__missing__|c=7', '279|g=__missing__|c=11']"
12,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.8977881438289602,"[271, 268, 95, 279]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 13, 7, 11]",{'__missing__': 4},"['271|g=__missing__|c=15', '268|g=__missing__|c=13', '95|g=__missing__|c=7', '279|g=__missing__|c=11']"
