node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score,score_normalization
0,0.11357453891232598,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,0.11357453891232598,0.8339465619764137,global
1,0.1530024287549642,0.0,0.0,0.0,0.0,0.0,0.39425837320574164,0.1530024287549642,0.849717717913469,global
10,0.07990738728807621,0.25,0.33688061535962166,0.0,0.0,0.0,0.278879015721121,0.07990738728807621,1.5732344632205644,global
100,0.13169848903132073,0.25,0.2216289387701291,0.0,0.0,0.16666666666666666,0.0,0.13169848903132073,0.8429221819941715,global
101,0.12145989053927138,0.0,0.0,0.0,0.0,0.0,0.0,0.12145989053927138,0.04858395621570855,global
102,0.18623900039244548,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.18623900039244548,0.24116226682364483,global
103,0.03754473581182359,0.0,0.0,0.0,0.0,0.0,0.0,0.03754473581182359,0.015017894324729436,global
104,0.2569509389731704,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.2569509389731704,0.4083359311448237,global
105,0.019371150754176912,0.25,0.2216289387701291,0.0,0.0,0.0,0.0,0.019371150754176912,0.7146579133499805,global
106,0.037248278762582736,0.25,0.2216289387701291,0.0,0.0,0.0,0.0,0.037248278762582736,0.7218087645533429,global
107,0.06402771338500339,0.25,0.2216289387701291,0.0,0.0,0.0,0.0,0.06402771338500339,0.7325205384023111,global
108,0.07679853075572339,0.5,0.4432578775402582,0.0,0.0,0.0,0.0,0.07679853075572339,1.444538318398909,global
109,0.027885940527175884,0.0,0.0,0.0,0.0,0.0,0.0,0.027885940527175884,0.011154376210870355,global
11,0.06979077886289561,0.0,0.0,0.0,0.0,0.0,0.278879015721121,0.06979077886289561,0.5856743429874003,global
110,0.15419519770232612,0.0,0.0,0.2,0.2,0.16666666666666666,0.0,0.15419519770232612,0.5450114124142638,global
111,0.093206662066909,0.0,0.0,0.0,0.0,0.0,0.0,0.093206662066909,0.0372826648267636,global
112,0.12247507489519184,0.0,0.0,0.0,0.0,0.0,0.0,0.12247507489519184,0.04899002995807674,global
113,0.09784213720217894,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.09784213720217894,0.12247018821420491,global
114,0.08109007473459162,0.75,0.6648868163103873,0.0,0.0,0.16666666666666666,0.0,0.08109007473459162,2.2364977223721,global
115,0.0834653798539128,0.0,0.0,0.0,0.0,0.0,0.0,0.0834653798539128,0.03338615194156512,global
116,0.09365623637116749,0.25,0.2216289387701291,0.0,0.0,0.0,0.0,0.09365623637116749,0.7443719475967767,global
117,0.08925668734266613,0.5,0.4432578775402582,0.0,0.0,0.0,0.0,0.08925668734266613,1.449521581033686,global
118,0.06932523794601315,0.0,0.0,0.0,0.0,0.0,0.0,0.06932523794601315,0.027730095178405263,global
