generation,best_score,best_fitness,best_f_score,best_objective_score,best_spread,best_mf,best_dcv,average_population_score,population_diversity,best_seed_set,local_search_applied_count,local_search_swap_evaluations,local_search_improvements,screening_evaluation_calls,full_evaluation_calls,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,parity_target,parity_abs_error,parity_squared_error,over_served_groups,under_served_groups
0,-1.1341379310344828,-1.1341379310344828,-0.25,-1.1341379310344828,144.82758620689654,0.0,0.5,-1.1532147988505748,0.2824358200186626,"[10, 105, 11, 115, 119, 129, 137, 139, 149, 150, 163, 167, 173, 180, 185, 2, 206, 210, 233, 238, 261, 266, 296, 299, 308, 309, 339, 34, 345, 348, 375, 45, 48, 6, 63, 72, 80, 82, 98, 99]",2,2,0,0,12,1,72.41379310344827,0.5,"0,1",0.20689655172413793,0.41379310344827586,0.08561236623067776,1,0
1,-1.1341379310344828,-1.1341379310344828,-0.25,-1.1341379310344828,144.82758620689654,0.0,0.5,-1.1528125,0.2748421916100061,"[10, 105, 11, 115, 119, 129, 137, 139, 149, 150, 163, 167, 173, 180, 185, 2, 206, 210, 233, 238, 261, 266, 296, 299, 308, 309, 339, 34, 345, 348, 375, 45, 48, 6, 63, 72, 80, 82, 98, 99]",4,2,0,0,3,1,72.41379310344827,0.5,"0,1",0.20689655172413793,0.41379310344827586,0.08561236623067776,1,0
2,-1.1341379310344828,-1.1341379310344828,-0.25,-1.1341379310344828,144.82758620689654,0.0,0.5,-1.1528125,0.2748421916100061,"[10, 105, 11, 115, 119, 129, 137, 139, 149, 150, 163, 167, 173, 180, 185, 2, 206, 210, 233, 238, 261, 266, 296, 299, 308, 309, 339, 34, 345, 348, 375, 45, 48, 6, 63, 72, 80, 82, 98, 99]",6,2,0,0,0,1,72.41379310344827,0.5,"0,1",0.20689655172413793,0.41379310344827586,0.08561236623067776,1,0
3,-1.1341379310344828,-1.1341379310344828,-0.25,-1.1341379310344828,144.82758620689654,0.0,0.5,-1.1528125,0.2748421916100061,"[10, 105, 11, 115, 119, 129, 137, 139, 149, 150, 163, 167, 173, 180, 185, 2, 206, 210, 233, 238, 261, 266, 296, 299, 308, 309, 339, 34, 345, 348, 375, 45, 48, 6, 63, 72, 80, 82, 98, 99]",8,2,0,0,0,1,72.41379310344827,0.5,"0,1",0.20689655172413793,0.41379310344827586,0.08561236623067776,1,0
4,-1.1341379310344828,-1.1341379310344828,-0.25,-1.1341379310344828,144.82758620689654,0.0,0.5,-1.1528125,0.2748421916100061,"[10, 105, 11, 115, 119, 129, 137, 139, 149, 150, 163, 167, 173, 180, 185, 2, 206, 210, 233, 238, 261, 266, 296, 299, 308, 309, 339, 34, 345, 348, 375, 45, 48, 6, 63, 72, 80, 82, 98, 99]",10,2,0,0,0,1,72.41379310344827,0.5,"0,1",0.20689655172413793,0.41379310344827586,0.08561236623067776,1,0
