node_id,candidate_group,ml_score,ris_score,fair_ris_score,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,ingroup_ris_score,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization
1,1,0.0036360022815189177,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.0,0.0,0.0,0.0,0.6107933752163384,0.0,0.0,0.1884844871300038,0.1884844871300038,0.1884844871300038,0.1884844871300038,global
10,1,3.677377167851375e-14,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4869914497831161,0.0,0.0,0.7250000000000367,0.7250000000000367,0.7250000000000367,0.7250000000000367,global
100,1,2.3628103786408372e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.6044607582043787,0.0,0.0,0.16666669029477046,0.16666669029477046,0.16666669029477046,0.16666669029477046,global
101,1,1.6950030711274227e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.4023277227324561,0.0,0.0,0.10000000016950031,0.10000000016950031,0.10000000016950031,0.10000000016950031,global
102,1,4.389583657803303e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.8060725435702892,0.0,0.0,0.16666667105625035,0.16666667105625035,0.16666667105625035,0.16666667105625035,global
103,1,2.9266398496429673e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3771280310574876,0.0,0.0,0.1000000000292664,0.1000000000292664,0.1000000000292664,0.1000000000292664,global
104,1,1.7307282124162722e-12,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.0,0.0,0.0,0.5100307021048163,0.0,0.0,0.15555555555728628,0.15555555555728628,0.15555555555728628,0.15555555555728628,global
105,1,2.9070861028004403e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.7456305437354583,0.0,0.0,0.1666666957375277,0.1666666957375277,0.1666666957375277,0.1666666957375277,global
106,1,4.3715548358551306e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.30522313306532617,0.0,0.0,0.06666710382215026,0.06666710382215026,0.06666710382215026,0.06666710382215026,global
107,1,0.001933971113561041,0.0,0.0,0.0,0.0,0.0,0.125,0.125,0.5,0.0,0.0,0.0,0.0,0.38988141851657765,0.0,0.0,0.12693397111356106,0.12693397111356106,0.12693397111356106,0.12693397111356106,global
