community_id,community_size
0,14
1,27
2,24
3,16
4,46
5,52
6,9
7,10
8,11
9,6
10,22
11,9
12,8
13,13
14,19
15,7
16,11
17,9
18,6
19,16
20,7
21,8
22,1
23,9
24,6
25,81
26,5
27,13
28,12
29,21
30,1
31,1
