node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
0,0.020829394221948662,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09182306454475132,0.0,0.0,0.6992268623510697,0.6992268623510697,0.6992268623510697,global
1,0.060045025786991085,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,1.0,0.18643291716918511,0.0,0.0,1.9772668490065355,1.9772668490065355,1.9772668490065355,global
10,0.039866969420105626,0.5,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.06452144738835902,0.0,0.0,1.399728760607407,1.399728760607407,1.399728760607407,global
100,0.35138482961093426,0.5,0.25,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.13170305495922358,0.0,0.0,1.6968454530835833,1.6968454530835833,1.6968454530835833,global
101,0.4271831791668354,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.12146410149952894,0.0,0.0,0.5215622147665795,0.5215622147665795,0.5215622147665795,global
102,0.40442455548202144,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.0,0.0,1.0,0.24142605304999465,0.0,0.0,2.3725584878425443,2.3725584878425443,2.3725584878425443,global
103,0.1707011780418822,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0927266333055084,0.0,0.0,2.439511360147333,2.439511360147333,2.439511360147333,global
104,0.52651300879075,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.7567567567567567,0.0,0.0,0.2569598473476746,0.0,0.0,0.7221451976669733,0.7221451976669733,0.7221451976669733,global
105,0.19092973671810495,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.07455241817776966,0.0,0.0,2.444378809301971,2.444378809301971,2.444378809301971,global
106,0.3658281261445057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03724957014380196,0.0,0.0,0.23439670374422422,0.23439670374422422,0.23439670374422422,global
