dataset,method,task,status,runtime_seconds,embedding_runtime_seconds,embedding_dim,node_count,evaluated_count,train_count,test_count,label_column,classifier,edge_feature,accuracy,macro_f1,micro_f1,weighted_f1,roc_auc,average_precision,nmi,ari,notes,skipped_reason
synth3,dgi,node_classification,ok,0.9005140000008396,5.309420099998533,64,500,125,375,125,color,graphsage,,0.992,0.9856999856999856,0.992,0.991955383955384,,,,,classes=3; stratified=True; val=75; val_stratified=True; imbalance_mode=focal_loss; early_stop_metric=macro_f1,
synth3,graphsage,node_classification,ok,1.0489479999996547,4.956444600000395,64,500,125,375,125,color,graphsage,,0.992,0.9856999856999856,0.992,0.991955383955384,,,,,classes=3; stratified=True; val=75; val_stratified=True; imbalance_mode=focal_loss; early_stop_metric=macro_f1,
