generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
36,0.5,0.5,7.0,0.014,1.0,0.0,0.9064101068999028,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
37,0.5,0.5,7.0,0.014,1.0,0.0,0.895214771622935,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
38,0.5,0.5,7.0,0.014,1.0,0.0,0.895214771622935,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
39,0.5,0.5,7.0,0.014,1.0,0.0,0.895214771622935,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
40,0.5,0.5,7.0,0.014,1.0,0.0,0.895214771622935,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
41,0.5,0.5,7.0,0.014,1.0,0.0,0.890511175898931,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
42,0.5,0.5,7.0,0.014,1.0,0.0,0.890511175898931,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
43,0.5,0.5,7.0,0.014,1.0,0.0,0.890511175898931,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
44,0.5,0.5,7.0,0.014,1.0,0.0,0.8820136054421769,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
45,0.5,0.5,7.0,0.014,1.0,0.0,0.8805908649173957,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
46,0.5,0.5,7.0,0.014,1.0,0.0,0.8805908649173957,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
47,0.5,0.5,7.0,0.014,1.0,0.0,0.8793469387755103,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
48,0.5,0.5,7.0,0.014,1.0,0.0,0.8793469387755103,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
49,0.5,0.5,7.0,0.014,1.0,0.0,0.8793469387755103,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
50,0.5,0.5,7.0,0.014,1.0,0.0,0.8793469387755103,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
51,0.5,0.5,7.0,0.014,1.0,0.0,0.8793469387755103,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
52,0.5,0.5,7.0,0.014,1.0,0.0,0.8749154518950438,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
53,0.5,0.5,7.0,0.014,1.0,0.0,0.8769757045675414,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
54,0.5,0.5,7.0,0.014,1.0,0.0,0.8738892128279884,"[271, 13, 163, 224]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 1, 2, 9]",{'__missing__': 4},"['271|g=__missing__|c=15', '13|g=__missing__|c=1', '163|g=__missing__|c=2', '224|g=__missing__|c=9']"
