rank,node
1,108
2,112
3,115
4,12
5,120
6,137
7,138
8,146
9,154
10,18
11,189
12,19
13,190
14,206
15,217
16,222
17,233
18,234
19,271
20,274
21,29
22,291
23,310
24,319
25,370
26,392
27,417
28,424
29,438
30,456
31,463
32,464
33,468
34,479
35,485
36,487
37,490
38,52
39,58
40,94
