rank,node
1,10
2,114
3,128
4,140
5,144
6,148
7,149
8,152
9,178
10,204
11,21
12,214
13,217
14,238
15,250
16,252
17,254
18,312
19,340
20,343
21,345
22,348
23,353
24,405
25,410
26,429
27,440
28,446
29,447
30,449
31,458
32,459
33,46
34,470
35,474
36,475
37,497
38,58
39,90
40,92
