rank,node
1,10
2,12
3,127
4,128
5,13
6,138
7,157
8,196
9,206
10,228
11,237
12,238
13,246
14,250
15,263
16,274
17,327
18,354
19,37
20,391
21,403
22,430
23,436
24,446
25,447
26,449
27,45
28,458
29,463
30,466
31,470
32,489
33,492
34,58
35,61
36,70
37,8
38,85
39,90
40,92
