node_id,candidate_group,ml_score,ris_score,fair_ris_score,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization
0,other,0.37205410862502447,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.7859030837004406,0.13488107443281205,0.0,0.0,0.2502086800615771,0.2502086800615771,0.2502086800615771,0.2502086800615771,global
1,black,0.3261344464110338,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.18139414356050793,0.1409393072616545,0.0,0.0,0.22386852929895118,0.22386852929895118,0.22386852929895118,0.22386852929895118,global
10,white,0.29611382844273376,0.25,0.1792003089626097,0.0,0.0,0.1792003089626097,1.0,1.0,0.0,0.0,0.0,0.0,0.0643741675781157,0.0,0.0,0.505583501336395,0.505583501336395,0.505583501336395,0.505583501336395,global
100,latino,0.5812975774884706,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,0.5,0.5,0.16666666666666666,0.0,0.0,0.04146151852811609,0.13368507201675675,0.0,0.0,0.7421822275631003,0.7421822275631003,0.7421822275631003,0.7421822275631003,global
101,white,0.4209204314402343,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.1211868416031018,0.0,0.0,0.2767896271847609,0.2767896271847609,0.2767896271847609,0.2767896271847609,global
102,other,0.6354098880364998,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.7859030837004406,0.22908793393383,0.0,0.0,0.5603968529419991,0.5603968529419991,0.5603968529419991,0.5603968529419991,global
103,white,0.6154881117521067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03746033305033031,0.0,0.0,0.3767849336613301,0.3767849336613301,0.3767849336613301,0.3767849336613301,global
104,white,0.4594373984071911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.25637329823742716,0.0,0.0,0.39360376535846675,0.39360376535846675,0.39360376535846675,0.39360376535846675,global
105,other,0.592999520476194,0.25,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.7859030837004406,0.06259521297896747,0.0,0.0,0.8683187548815099,0.8683187548815099,0.8683187548815099,0.8683187548815099,global
106,latino,0.399994434521332,0.25,0.16666666666666666,0.0,0.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.04146151852811609,0.039447191343578,0.0,0.0,0.5478860989815147,0.5478860989815147,0.5478860989815147,0.5478860989815147,global
