node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score
0,0.021649469479071027,0.0,0.0,0.5,0.5,0.0,0.0,0.08954349696701551,0.5509720274221559
1,0.2667226534389105,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.09036306588973554,0.13407052671714612,0.6640304673171645
10,0.30256820945306634,0.5,0.3357825447231506,0.5,0.5,0.0,0.0,0.062173351444773144,1.4896061408628363
100,0.7795365546107614,0.5,0.44477626579828916,0.0,0.0,0.16666666666666666,0.28297715549005154,0.1451776301297525,1.8537886480607657
101,0.41691592691936247,0.0,0.0,0.0,0.0,0.0,0.17299771167048053,0.1288290123613948,0.5163704654585921
102,0.0835263501497883,0.0,0.0,0.5,0.5,0.3333333333333333,0.0,0.18420289436294338,0.7988162695166958
103,0.020740639922127456,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.04012903559573536,0.1209331280735189
104,0.2925711708861894,0.0,0.0,0.0,0.0,0.16666666666666666,0.25175983436853006,0.2690219088983495,0.6475017508815357
105,0.010616145717883656,0.0,0.0,0.5,0.5,0.0,0.09036306588973554,0.021909202318120092,0.606558048819502
106,0.07628251871744268,0.0,0.0,0.0,0.0,0.0,0.17299771167048053,0.04440309850104993,0.24415671417311036
107,0.023665517804595217,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.06667940716786155,0.13360069122009682
108,0.05717998378688844,0.5,0.44477626579828916,0.0,0.0,0.0,0.28297715549005154,0.09013796219650963,1.2427898479774244
109,0.1505837899051014,0.0,0.0,0.0,0.0,0.0,0.28297715549005154,0.04110089899111426,0.4048261680200682
11,0.011361806091146962,0.0,0.0,0.0,0.0,0.0,0.0,0.052030998229541506,0.028765663555619478
110,0.03813835315572852,0.0,0.0,0.0,0.0,0.16666666666666666,0.25175983436853006,0.16600467436075267,0.42819188465517444
111,0.14453831922957133,0.0,0.0,0.0,0.0,0.0,0.17299771167048053,0.10050388494773561,0.3143760891102747
112,0.02477943266124509,0.0,0.0,0.0,0.0,0.0,0.4819875776397515,0.14693982200479233,0.5581091093045399
113,0.13108088497789228,0.0,0.0,0.5,0.5,0.16666666666666666,1.0,0.15090018021382212,1.7354500249033868
114,0.028854340091832527,0.5,0.34459659392885283,0.5,0.5,0.16666666666666666,0.09036306588973554,0.08378518889039087,1.4909244255581313
115,0.06010450638781674,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.08616653869672908,0.1669028358398989
116,0.34656606859110617,0.0,0.0,0.25,0.25,0.0,0.09036306588973554,0.09638332895090926,0.6215126454838735
117,0.32168943606839506,0.5,0.44477626579828916,0.0,0.0,0.0,0.28297715549005154,0.10262782235566492,1.432942408638141
118,0.0370301925680851,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.07199041289290195,0.14508036584455591
119,0.08042795922311038,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.10761016501658456,0.35110347183134116
12,0.02174606600788641,0.0,0.0,0.1875,0.1875,0.6666666666666666,0.0,0.5771196647560377,0.7669034454412689
120,0.015463714272767272,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.06451762656522457,0.288391484985557
121,0.025078782550935017,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.06416593678954037,0.2949813568700007
122,0.09654823248887541,0.0,0.0,0.0,0.0,0.3333333333333333,0.28297715549005154,0.21879271651739793,0.6047446715058902
123,0.009769020166781429,0.0,0.0,0.0,0.0,0.0,0.17299771167048053,0.058984280030949625,0.20342973779960738
124,0.017513965229112506,0.0,0.0,0.0,0.0,0.0,0.0,0.021158490705248653,0.020723171942478216
125,0.08438458632357924,0.0,0.0,0.0,0.0,0.0,0.0,0.07103303784749136,0.08748242556550201
126,0.021592714868057642,0.0,0.0,0.0,0.0,0.0,0.25175983436853006,0.10208453447694907,0.30770854856695007
127,0.33830716550218837,0.0,0.0,0.3333333333333333,0.3333333333333333,0.5,1.0,0.32441609853993275,1.9499147886008381
128,0.0314148399354925,0.5,0.44477626579828916,0.0,0.0,0.0,0.28297715549005154,0.0658960397391829,1.2150574782985164
129,0.05266400143068646,0.0,0.0,0.0,0.0,0.0,0.4819875776397515,0.08675058794864236,0.553552613820689
13,0.6606451609152453,0.0,0.0,0.23529411764705882,0.23529411764705882,1.0,0.0,0.8266212357409347,1.5283942245841045
130,0.03018538493834299,0.0,0.0,0.0,0.0,0.0,1.0,0.06654865645256812,1.0477492320378674
131,0.2008672745361549,0.0,0.0,0.5,0.5,0.16666666666666666,0.09036306588973554,0.09785460041040067,0.8534453315625375
132,0.05841134050922374,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.042185162333295015,0.14812506917951015
133,0.01733252746867297,0.0,0.0,0.0,0.0,0.0,0.17299771167048053,0.017817605006214408,0.19225752290103737
134,0.045015017266198346,0.0,0.0,0.0,0.0,0.0,0.0,0.09634914000733695,0.07005016808927363
135,0.1513378446121926,0.0,0.0,0.0,0.0,0.0,0.28297715549005154,0.08491678675459505,0.4228803614204244
136,0.020118901103862972,0.0,0.0,0.0,0.0,0.0,0.09036306588973554,0.03074544504674628,0.11674447468113813
137,0.3235093457293431,0.5,0.5,0.5,0.5,0.16666666666666666,1.0,0.15635545900202183,2.8223320589446823
138,0.10087988703080591,0.5,0.3357825447231506,0.0,0.0,0.0,0.0,0.07326379992281187,0.8528604945584696
139,0.014281872169637505,0.0,0.0,0.2,0.2,0.3333333333333333,0.09036306588973554,0.18299777542377824,0.5402261532446597
14,0.01647766453160764,0.0,0.0,0.23076923076923078,0.23076923076923078,0.3333333333333333,0.4819875776397515,0.46861579732080955,1.078404159176098
