rank,node
1,108
2,112
3,115
4,12
5,120
6,137
7,138
8,146
9,154
10,18
11,189
12,19
13,190
14,206
15,210
16,217
17,222
18,233
19,234
20,271
21,274
22,29
23,291
24,31
25,310
26,319
27,370
28,392
29,417
30,424
31,438
32,463
33,464
34,468
35,469
36,479
37,485
38,487
39,58
40,94
