epoch,train_loss,validation_loss
1,0.009149470366537571,0.00533212861046195
2,0.0069438498467206955,0.005211582873016596
3,0.0073755099438130856,0.004999466240406036
4,0.0070709604769945145,0.0048260013572871685
5,0.006255068816244602,0.004998940043151379
6,0.005934025160968304,0.005373312160372734
7,0.0058510079979896545,0.005589725449681282
8,0.0055889710783958435,0.005524775013327599
9,0.005583086516708136,0.005214857868850231
10,0.005464217625558376,0.0048526558093726635
11,0.005324555095285177,0.0045461151748895645
12,0.005150961689651012,0.004332419019192457
13,0.005145942326635122,0.004175178240984678
14,0.004908916540443897,0.004066887311637402
15,0.004949725233018398,0.0040137129835784435
16,0.004951899405568838,0.004022044129669666
17,0.004614786710590124,0.004061039071530104
18,0.004566568415611982,0.004085594788193703
19,0.00444466806948185,0.003986208699643612
20,0.004596213810145855,0.0037895350251346827
21,0.004320765379816294,0.003543633269146085
22,0.004172279499471188,0.003354986198246479
23,0.003983030095696449,0.0032290061935782433
24,0.004151581320911646,0.003165366593748331
25,0.0040545035153627396,0.003137624589726329
26,0.003875512396916747,0.0031469352543354034
27,0.0037849307991564274,0.003166000824421644
28,0.0036579011939466,0.003100505331531167
29,0.0034503438510000706,0.002986723557114601
30,0.0033918190747499466,0.002821420319378376
