dataset,community_method,method,seed_set,total_spread,mf,mf_component,ideal_mf,mf_to_ideal_ratio,dcv,f_score,score_mode,runtime_seconds,candidate_pool_size,group_spread,group_targets,note
synth3,leiden,degree,"[292, 169, 269, 9]",4.4,0.0,0.0,0.0088,0.0,0.6666666666666666,-0.3333333333333333,normalized_mf,0.0009621999997762032,500,"{""1"": 4.4, ""0"": 0.0, ""2"": 0.0}","{""1"": 2.64, ""0"": 1.1, ""2"": 0.66}",
synth3,leiden,pagerank,"[169, 269, 430, 9]",4.5,0.0,0.0,0.009,0.0,0.3333333333333333,-0.16666666666666666,normalized_mf,0.0007286999998541432,500,"{""1"": 3.4, ""0"": 0.0, ""2"": 1.1}","{""1"": 2.6999999999999997, ""0"": 1.125, ""2"": 0.6749999999999999}",
synth3,leiden,community_round_robin,"[292, 277, 269, 51]",4.4,0.0,0.0,0.0088,0.0,0.6666666666666666,-0.3333333333333333,normalized_mf,0.016204699999434524,500,"{""1"": 4.4, ""0"": 0.0, ""2"": 0.0}","{""1"": 2.64, ""0"": 1.1, ""2"": 0.66}",
synth3,leiden,random,"[220, 45, 327, 386]",4.1,0.0,0.0,0.008199999999999999,0.0,0.3821138211382113,-0.19105691056910565,normalized_mf,0.00014729999929841142,500,"{""1"": 2.1, ""0"": 2.0, ""2"": 0.0}","{""1"": 2.4599999999999995, ""0"": 1.025, ""2"": 0.6149999999999999}",
synth3,leiden,hybrid_siea,"[292, 34, 327, 432]",4.8,0.0088,0.9166666666666669,0.0096,0.9166666666666669,0.04861111111111105,0.4340277777777779,normalized_mf,0.014067400000385533,500,"{""1"": 2.7, ""0"": 1.1, ""2"": 1.0}","{""1"": 2.88, ""0"": 1.2, ""2"": 0.72}",repair_bias=0.35;history=synth3_budget4_leiden_hybrid_siea_history.csv
