generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
15,0.4423076923076923,0.42533445711463486,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9259319727891158,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
16,0.4423076923076923,0.42567734334124196,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9193624878522839,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
17,0.4423076923076923,0.42672846252416474,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9137648202138,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
18,0.4423076923076923,0.4269516024608128,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9096209912536443,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
19,0.4423076923076923,0.4280557448362801,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9050962099125365,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
20,0.4423076923076923,0.4282918120245234,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9106627793974733,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
21,0.4423076923076923,0.42888668186072076,5.2,0.0096,0.923076923076923,0.03846153846153849,0.9004703595724006,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
22,0.4423076923076923,0.42915022583777296,5.2,0.0096,0.923076923076923,0.03846153846153849,0.8970651117589893,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
23,0.4423076923076923,0.42931184199938904,5.2,0.0096,0.923076923076923,0.03846153846153849,0.8936598639455784,"[169, 9, 327, 463]","['1', '1', '0', '2']","[0, 1, 6, 20]","{'1': 2, '0': 1, '2': 1}","['169|g=1|c=0', '9|g=1|c=1', '327|g=0|c=6', '463|g=2|c=20']"
24,0.44888888888888884,0.43059270813418876,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8844781341107874,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
25,0.44888888888888884,0.43088023220432153,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8788960155490769,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
26,0.44888888888888884,0.4315613314393545,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8720544217687076,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
27,0.44888888888888884,0.43167336761984587,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8730262390670556,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
28,0.44888888888888884,0.43167336761984587,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8730262390670556,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
29,0.44888888888888884,0.43203467298115117,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8664956268221575,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
30,0.44888888888888884,0.4325135754813303,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8589154518950439,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
31,0.44888888888888884,0.4325561286728197,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8588610301263365,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
32,0.44888888888888884,0.4329402508847633,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.857834791059281,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
33,0.44888888888888884,0.43305228706525467,5.0,0.009333333333333332,0.9333333333333332,0.03555555555555558,0.8587288629737608,"[9, 248, 396, 499]","['1', '1', '0', '2']","[1, 2, 6, 25]","{'1': 2, '0': 1, '2': 1}","['9|g=1|c=1', '248|g=1|c=2', '396|g=0|c=6', '499|g=2|c=25']"
34,0.45299145299145305,0.4341503916185087,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8521127308066084,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
35,0.45299145299145305,0.4343524118205289,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8527346938775512,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
36,0.45299145299145305,0.43471371718183427,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8499902818270166,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
37,0.45299145299145305,0.43471371718183427,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8499902818270166,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
38,0.45299145299145305,0.43503726085644184,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8422934888241012,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
39,0.45299145299145305,0.43503726085644184,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8422934888241012,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
40,0.45299145299145305,0.43503726085644184,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8422934888241012,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
41,0.45299145299145305,0.43503726085644184,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.8422934888241012,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
42,0.45299145299145305,0.43554923066362433,5.2,0.009666666666666667,0.9294871794871796,0.02350427350427352,0.834301263362488,"[178, 170, 417, 453]","['1', '1', '0', '2']","[2, 0, 6, 19]","{'1': 2, '0': 1, '2': 1}","['178|g=1|c=2', '170|g=1|c=0', '417|g=0|c=6', '453|g=2|c=19']"
