generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
0,0.5,0.5,5.333333333333333,0.010666666666666666,1.0,0.0,0.9727035957240039,"[12, 297, 47, 101]","['__missing__', '__missing__', '__missing__', '__missing__']","[0, 16, 5, 2]",{'__missing__': 4},"['12|g=__missing__|c=0', '297|g=__missing__|c=16', '47|g=__missing__|c=5', '101|g=__missing__|c=2']"
1,0.5,0.5,6.0,0.012,1.0,0.0,0.9683731778425657,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
2,0.5,0.5,6.0,0.012,1.0,0.0,0.9590748299319729,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
3,0.5,0.5,6.0,0.012,1.0,0.0,0.9468843537414966,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
4,0.5,0.5,6.0,0.012,1.0,0.0,0.9393430515063169,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
5,0.5,0.5,6.0,0.012,1.0,0.0,0.9288085519922256,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
6,0.5,0.5,6.0,0.012,1.0,0.0,0.9195179786200194,"[271, 17, 33, 268]","['__missing__', '__missing__', '__missing__', '__missing__']","[16, 3, 5, 13]",{'__missing__': 4},"['271|g=__missing__|c=16', '17|g=__missing__|c=3', '33|g=__missing__|c=5', '268|g=__missing__|c=13']"
7,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9175121477162294,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
8,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.918250728862974,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
9,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9239650145772595,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
10,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9238095238095239,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
11,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9238095238095239,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
12,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9185928085519923,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
13,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9185928085519923,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
14,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9184373177842566,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
15,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9183206997084548,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
16,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9150242954324587,"[44, 21, 36, 321]","['__missing__', '__missing__', '__missing__', '__missing__']","[4, 6, 2, 11]",{'__missing__': 4},"['44|g=__missing__|c=4', '21|g=__missing__|c=6', '36|g=__missing__|c=2', '321|g=__missing__|c=11']"
17,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9167813411078718,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
18,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9171700680272109,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
19,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9085170068027212,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
20,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9055471331389701,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
21,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9104917395529641,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
22,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9113469387755103,"[17, 12, 38, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 0, 5, 14]",{'__missing__': 4},"['17|g=__missing__|c=3', '12|g=__missing__|c=0', '38|g=__missing__|c=5', '310|g=__missing__|c=14']"
