generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
11,0.5,0.5,18.9,0.04247191011235955,1.0,0.0,0.7548299319727891,"[1335, 5234, 3634, 616]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 4, 4]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '3634|g=__missing__|c=4', '616|g=__missing__|c=4']"
12,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.7510437317784256,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
13,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.7391020408163266,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
14,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.7247113702623907,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
15,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6780019436345969,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
16,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6530689990281828,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
17,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6309426627793976,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
18,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6295821185617104,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
19,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6032730806608358,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
20,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6032730806608358,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
21,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.604921282798834,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
22,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.6029154518950438,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
23,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5863867832847425,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
24,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5866511175898932,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
25,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5616559766763849,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
26,0.5,0.5,22.5,0.05056179775280899,1.0,0.0,0.5462779397473275,"[1335, 5234, 5351, 1237]","['__missing__', '__missing__', '__missing__', '__missing__']","[3, 4, 5, 3]",{'__missing__': 4},"['1335|g=__missing__|c=3', '5234|g=__missing__|c=4', '5351|g=__missing__|c=5', '1237|g=__missing__|c=3']"
