node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score
256,0.554727900502433,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.3455224121987848,0.66937563808836
257,0.6950351230546341,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5971204089054355,1.0110870354147037
258,0.3521046465046141,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.22772756515241654,0.4089928500427679
259,0.7026185776453103,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5516437348769371,0.9982047840167777
26,0.7001135116184695,0.0,0.0,0.1111111111111111,0.1111111111111111,0.8571428571428571,0.0,0.6870253111515419,1.3045721222760849
260,0.7142211422872866,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.6939531654880287,1.2061074943677406
261,0.3081497986550185,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.2371748399322393,0.4534319378885515
262,0.3871586891175702,0.5,0.25,0.0,0.0,0.14285714285714285,0.0,0.22336132699759254,1.0817841846099074
263,0.6788288391675238,0.5,0.25,0.0,0.0,0.2857142857142857,0.0,0.4831313072067593,1.4612898531571132
264,0.8770776324275946,0.5,0.25,0.0,0.0,0.7142857142857143,0.0,0.8699282208683821,1.9690684881895262
265,0.8895449184760655,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.8135285897549133,1.2338071645494968
266,0.646341580013681,0.0,0.0,0.125,0.125,0.7142857142857143,0.0,0.5917266048757976,1.1712726051027529
267,0.7579983668978644,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.6418408322534445,1.0730494754441686
268,0.6368180774084576,0.0,0.0,0.42857142857142855,0.42857142857142855,0.5714285714285714,0.0,0.537478703928751,1.375049850043135
269,0.9314810930639219,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.9173189319028036,1.3761071950487238
27,0.38813126623094873,0.5,0.25,0.0,0.0,0.42857142857142855,0.0,0.3729569168182511,1.2851603673746788
270,0.6110363951267248,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.540709280333996,0.85829490300802
271,0.5988031611726125,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.46702023512909646,0.7488274497296101
272,0.6895717886152153,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5166785024017383,0.9750859387056316
273,0.49354380688493,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.3561708312483378,0.630806140175929
274,0.534192590745402,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.36399451069135214,0.7338183320840366
275,0.5894294060560771,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.42066800797605636,0.7951535017153908
276,0.5545128143391401,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.3691572253558826,0.7501075744654654
277,0.8283489450995434,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.813959480957935,1.2625709110957115
278,0.2114222476154966,0.5,0.25,0.0,0.0,0.14285714285714285,0.0,0.09460925712683345,0.9072678476101523
279,0.4394603181790247,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.28459479567400586,0.6357458552806339
28,0.8127306050754656,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.8014370199087744,1.2466290886591929
280,0.4848536589540544,0.0,0.0,0.2,0.2,0.42857142857142855,0.0,0.3355123767394947,0.8878882262493503
281,0.41196753376489337,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.3218811342893006,0.6314154416368598
282,0.44314799337453337,0.5,0.25,0.0,0.0,0.2857142857142857,0.0,0.282081424054111,1.2158933078409604
283,0.47843254499582477,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.36591984216578743,0.6955564326491066
284,0.4855941118287047,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.3300592785773808,0.68622530399676
285,0.6009840348283272,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.4135017567897048,0.7289466699528537
286,0.5345817049574834,0.0,0.0,0.16666666666666666,0.16666666666666666,0.2857142857142857,0.0,0.35605341867597934,0.8261523704644396
287,0.8249088169878053,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.8432188246067079,1.3432951303055753
288,0.45764619717320615,0.5,0.25,0.0,0.0,0.2857142857142857,0.0,0.23367694176753198,1.2066802575853999
289,0.7216129576074707,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.6075200232230411,1.105279936757303
29,0.8533145713033948,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.7270437807519655,1.1738519979274482
290,0.8177278152860038,1.0,0.5,0.0,0.0,0.7142857142857143,0.0,0.782994871405401,2.5427502764052203
291,0.9407457419726241,0.0,0.0,0.0,0.0,0.8571428571428571,0.0,0.9296528556919597,1.4589545902290493
292,0.9744941573860174,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.9760585290710437,1.4297121789414868
293,0.7124368858493495,0.5,0.25,0.1,0.1,0.7142857142857143,0.0,0.6823138199568191,1.8787742052201295
294,0.7533772448478514,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5681453799522777,1.0403365090886927
295,0.6604486896404359,0.5,0.25,0.0,0.0,0.5714285714285714,0.0,0.5320697079985658,1.610856251662017
296,0.5844523080691414,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5531109008790348,0.9160752617142986
297,0.37635852925144464,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.14086064210860919,0.3912237987480264
298,0.5297265308131119,0.0,0.0,0.125,0.125,0.14285714285714285,0.0,0.40563931778486373,0.7294928701116953
299,0.12971821498179856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09080275048725898
3,0.6944815679677095,0.0,0.0,0.0,0.0,0.5714285714285714,0.0,0.5976602988394762,1.0109155028274728
30,0.5722984809253144,0.0,0.0,0.2,0.2,0.14285714285714285,0.0,0.23465384528615116,0.765899046190752
300,0.4367883623796481,1.0,0.5,0.0,0.0,0.2857142857142857,0.0,0.23129860168791816,1.8411284371980638
301,0.3358089517996233,0.5,0.4950616457967744,0.5,0.5,0.14285714285714285,0.4666666666666666,0.15388604326328228,2.2787898966164164
302,0.4605324575727823,0.5,0.4950616457967744,0.0,0.0,0.0,0.4666666666666666,0.16675484987098557,1.7998153018721375
