rank,node
1,108
2,112
3,12
4,122
5,123
6,126
7,128
8,13
9,138
10,140
11,144
12,15
13,156
14,198
15,222
16,237
17,238
18,244
19,25
20,265
21,268
22,27
23,271
24,273
25,274
26,275
27,282
28,294
29,307
30,312
31,315
32,320
33,324
34,330
35,337
36,338
37,340
38,403
39,436
40,440
41,446
42,447
43,458
44,463
45,471
46,476
47,484
48,63
49,80
50,95
