generation,best_score,mean_score,best_spread,best_mf,best_mf_to_ideal,best_dcv,population_diversity,best_seed_nodes,best_seed_groups,best_seed_communities,best_seed_group_counts,best_seed_labels
0,0.5,0.5,6.0,0.012,1.0,0.0,0.9775860058309038,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
1,0.5,0.5,6.0,0.012,1.0,0.0,0.9754169096209911,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
2,0.5,0.5,6.0,0.012,1.0,0.0,0.9661030126336252,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
3,0.5,0.5,6.0,0.012,1.0,0.0,0.9568046647230322,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
4,0.5,0.5,6.0,0.012,1.0,0.0,0.9481593780369291,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
5,0.5,0.5,6.0,0.012,1.0,0.0,0.9357201166180759,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
6,0.5,0.5,6.0,0.012,1.0,0.0,0.9319961127308065,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
7,0.5,0.5,6.0,0.012,1.0,0.0,0.9134538386783285,"[271, 17, 12, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 3, 0, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '17|g=__missing__|c=3', '12|g=__missing__|c=0', '310|g=__missing__|c=13']"
8,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9104217687074829,"[271, 12, 298, 266]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 13, 10]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '298|g=__missing__|c=13', '266|g=__missing__|c=10']"
9,0.5,0.5,6.333333333333333,0.012666666666666666,1.0,0.0,0.9077240038872693,"[271, 12, 287, 310]","['__missing__', '__missing__', '__missing__', '__missing__']","[15, 0, 10, 13]",{'__missing__': 4},"['271|g=__missing__|c=15', '12|g=__missing__|c=0', '287|g=__missing__|c=10', '310|g=__missing__|c=13']"
