epoch,train_loss,validation_loss
1,0.03447666019201279,0.024432016536593437
2,0.02440926991403103,0.01700620725750923
3,0.017016800120472908,0.011503656394779682
4,0.011552056297659874,0.007477574050426483
5,0.007619187701493502,0.0049292161129415035
6,0.005062439478933811,0.004124405328184366
7,0.004084782209247351,0.005064209457486868
8,0.0050933752208948135,0.006493376102298498
9,0.006302973255515099,0.007167685776948929
10,0.007040095049887896,0.006941035855561495
11,0.006846179254353046,0.006215462926775217
12,0.006068509072065353,0.005396774038672447
13,0.005330605432391167,0.004720811732113361
14,0.004580215085297823,0.004289808217436075
15,0.004088692367076874,0.0040880790911614895
16,0.003943490795791149,0.004041477106511593
17,0.003877681912854314,0.0040851919911801815
18,0.00391002744436264,0.004170540254563093
19,0.004016068298369646,0.004261944442987442
20,0.004088624846190214,0.004335254896432161
21,0.004195502493530512,0.004377140663564205
22,0.004234607331454754,0.004383744206279516
23,0.004232118371874094,0.004356869962066412
24,0.00422260956838727,0.00430305628105998
25,0.004129471722990274,0.004231395199894905
26,0.004073197487741709,0.004150978289544582
27,0.003977769520133734,0.00407106988132
28,0.0039061636198312044,0.003998719155788422
29,0.003803292056545615,0.003937557805329561
30,0.003783175488933921,0.0038910398725420237
31,0.0037232693284749985,0.0038590296171605587
32,0.0036494843661785126,0.003840529825538397
33,0.0036901228595525026,0.003833168651908636
34,0.003616329748183489,0.0038290591910481453
35,0.003694673767313361,0.0038224710151553154
36,0.0036267410032451153,0.003807260887697339
37,0.0036278252955526114,0.0037799335550516844
38,0.0036092179361730814,0.0037389500066637993
39,0.0035773126874119043,0.003686439013108611
40,0.00348639115691185,0.0036285847891122103
41,0.0034613150637596846,0.00356897315941751
42,0.0033949376083910465,0.0035128253512084484
43,0.0033527594059705734,0.003464403096586466
44,0.0033361350651830435,0.0034237767104059458
45,0.0032257232815027237,0.0033893357031047344
46,0.0031974802259355783,0.0033583398908376694
47,0.003248858032748103,0.003328559687361121
48,0.003175262361764908,0.0032968453597277403
49,0.0031564964447170496,0.0032603610306978226
50,0.0031150078866630793,0.0032186866737902164
