epoch,train_loss,validation_loss
1,0.07521000504493713,0.04400838539004326
2,0.0458703450858593,0.02320009656250477
3,0.026672668755054474,0.015267797745764256
4,0.019349997863173485,0.019306205213069916
5,0.02326042391359806,0.02132287621498108
6,0.026260823011398315,0.017994647845625877
7,0.021970583125948906,0.013331027701497078
8,0.01641702838242054,0.00989662203937769
9,0.012750835157930851,0.008093643933534622
10,0.011940281838178635,0.007426640018820763
11,0.01083717867732048,0.0070734634064137936
12,0.01056997012346983,0.006730533670634031
13,0.010073360987007618,0.006182519253343344
14,0.008899095468223095,0.00558158615604043
15,0.007838575169444084,0.00524383969604969
16,0.007828927598893642,0.005468655843287706
17,0.00817370880395174,0.006031270604580641
18,0.008696046657860279,0.006343316286802292
19,0.00812746211886406,0.006255901884287596
20,0.008552069775760174,0.005935885477811098
21,0.008759803138673306,0.00569278234615922
22,0.007730093784630299,0.005674564745277166
23,0.007118800189346075,0.005718098022043705
24,0.007672470528632402,0.005701033864170313
25,0.007709240075200796,0.005572913214564323
26,0.008143166080117226,0.005376310553401709
27,0.007758289575576782,0.0051571959629654884
28,0.007359703071415424,0.005023336503654718
29,0.0072696758434176445,0.005007507745176554
30,0.006905056536197662,0.0050699422135949135
31,0.007345773279666901,0.0050880624912679195
32,0.006709947716444731,0.005048487801104784
33,0.006892356090247631,0.004987931344658136
34,0.00650998717173934,0.00493401475250721
35,0.006837552413344383,0.0048911008052527905
36,0.0065836068242788315,0.004875116515904665
37,0.00662233354523778,0.004868376534432173
38,0.0068457466550171375,0.004838510416448116
39,0.007251723203808069,0.0047880844213068485
40,0.007567164488136768,0.004734128713607788
41,0.006483541335910559,0.0046958620660007
42,0.006683703046292067,0.004677551798522472
43,0.006848239339888096,0.004670540802180767
44,0.00678974948823452,0.004636854864656925
45,0.00628239382058382,0.0045937285758554935
46,0.006640868727117777,0.004550816956907511
47,0.006181341130286455,0.004502182826399803
48,0.006649351213127375,0.004432398360222578
49,0.006134563125669956,0.004493020940572023
50,0.006312665995210409,0.004459182266145945
