node_id,cluster_id
1,0
10,1
100,0
101,0
102,2
103,1
104,0
105,1
106,0
107,2
108,1
109,0
11,1
110,1
111,0
112,3
113,0
114,0
115,2
116,3
117,3
118,0
119,0
12,2
120,0
121,0
122,0
123,1
124,0
125,1
126,3
127,2
128,0
129,2
13,3
130,0
131,0
132,2
133,0
134,0
135,1
136,0
137,1
138,2
139,1
14,0
140,0
141,0
142,3
143,3
144,0
145,0
146,1
147,3
148,1
149,0
15,0
150,0
151,1
152,0
153,2
154,0
155,0
156,0
157,0
158,0
159,0
16,3
160,3
161,1
162,0
163,0
164,2
165,0
166,2
167,0
168,0
169,0
17,1
170,0
171,3
172,1
173,1
174,0
175,3
176,2
177,1
178,0
179,0
18,2
180,0
181,2
182,0
183,2
184,0
185,1
186,0
187,2
188,0
189,0
19,0
190,0
191,3
192,0
193,0
194,2
195,0
196,2
197,2
198,3
199,0
2,1
20,0
200,1
201,3
202,3
203,0
204,1
205,0
206,1
207,2
208,0
209,0
21,2
210,1
211,2
212,0
213,0
214,1
215,0
216,2
217,2
218,0
219,0
22,3
220,1
221,0
222,0
223,3
224,0
225,1
226,1
227,1
228,0
229,0
23,0
230,3
231,1
232,2
233,1
234,2
235,1
236,3
237,2
238,0
239,0
24,1
240,0
241,1
242,0
243,2
244,2
245,0
246,2
247,0
248,2
249,3
25,3
250,0
251,1
252,2
253,2
254,0
255,3
256,0
257,0
258,1
259,1
26,3
260,0
261,1
262,2
263,3
264,1
265,0
266,1
267,3
268,0
269,0
27,0
270,1
271,2
272,2
273,2
274,0
275,0
276,0
277,0
278,1
279,1
28,1
280,1
281,2
282,1
283,1
284,2
285,3
286,0
287,3
288,0
289,1
29,0
290,3
291,0
292,0
293,2
294,3
295,1
296,1
297,0
298,0
299,2
3,0
30,1
300,0
301,1
302,0
303,0
304,0
305,1
306,2
307,0
308,2
309,0
31,1
310,2
311,0
312,0
313,1
314,2
315,2
316,0
317,2
318,2
319,3
32,1
320,0
321,0
322,2
323,0
324,0
325,3
326,0
327,2
328,1
329,1
33,1
330,0
331,2
332,0
333,3
334,0
335,0
336,2
337,2
338,0
339,2
34,0
340,0
341,2
342,0
343,0
344,3
345,0
346,0
347,1
348,0
349,2
35,0
350,0
351,4
352,3
353,3
354,3
355,3
356,3
357,3
358,3
359,4
36,2
360,5
361,5
362,3
363,3
364,6
365,5
366,3
367,3
368,7
369,3
37,1
370,8
371,5
372,8
373,5
374,3
375,7
376,9
377,4
378,4
379,3
38,2
380,3
381,3
382,3
383,7
384,9
385,4
386,3
387,8
388,3
389,4
39,1
390,4
391,3
392,4
393,7
394,4
395,3
396,6
397,4
398,8
399,7
4,0
40,0
400,5
401,7
402,5
403,9
404,3
405,3
406,3
407,5
408,4
409,7
41,0
410,3
411,7
412,3
413,4
414,9
415,4
416,4
417,3
418,10
419,7
42,0
420,8
421,8
422,9
423,4
424,3
425,6
426,5
427,9
428,4
429,8
43,0
430,6
431,8
432,9
433,3
434,3
435,10
436,3
437,10
438,3
439,3
44,1
440,3
441,4
442,6
443,3
444,3
445,3
446,3
447,10
448,3
449,3
45,0
450,7
451,4
452,9
453,3
454,3
455,3
456,3
457,5
458,10
459,5
46,0
460,7
461,3
462,6
463,3
464,3
465,4
466,4
467,8
468,3
469,3
47,3
470,7
471,3
472,4
473,4
474,4
475,3
476,6
477,3
478,9
479,8
48,1
480,4
481,7
482,3
483,3
484,4
485,8
486,7
487,3
488,3
489,8
49,0
490,3
491,8
492,3
493,4
494,10
495,10
496,4
497,3
498,9
499,9
5,3
50,1
500,4
51,0
52,2
53,0
54,1
55,2
56,0
57,0
58,1
59,3
6,3
60,0
61,0
62,0
63,0
64,1
65,3
66,0
67,0
68,3
69,0
7,2
70,0
71,0
72,2
73,2
74,0
75,0
76,0
77,0
78,0
79,1
8,1
80,0
81,0
82,2
83,1
84,1
85,3
86,1
87,0
88,1
89,2
9,1
90,2
91,0
92,1
93,1
94,0
95,1
96,1
97,3
98,1
99,1
