node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score,score_normalization
10007042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10046442,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.3,per_group
10074432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10077242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10093672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10104672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10107362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10125152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10125822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10130032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10138132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10144442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10166632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10214802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10241462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10241802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10263662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10270072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10270872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10284152,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.3,per_group
1032291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10332972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10348132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10367842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10507892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10523552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10545772,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.3,per_group
1058591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10599392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10609292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10618402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10638782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
10645702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,per_group
