node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score,score_normalization
1,0.466815941712995,0.0,0.0,0.09090909090909091,0.09090909090909091,0.8333333333333334,0.0,0.6107933752163384,1.3262101694278816,global
10,0.5202082782001975,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.4869914497831161,1.3882340523466787,global
100,0.35732302756306655,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.6044607582043787,1.0871124837299515,global
101,0.35544719865380264,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.4023277227324561,1.2719880217532171,global
102,0.4676340056816357,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.8060725435702892,1.2229126869356004,global
103,0.4790246549514663,0.0,0.0,0.0,0.0,0.5,0.0,0.3771280310574876,0.7903635398987282,global
104,0.38102071811093163,0.0,0.0,0.1111111111111111,0.1111111111111111,0.6666666666666666,0.0,0.5100307021048163,1.1500781954529478,global
105,0.7009472421668614,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.7456305437354583,1.3153925052442808,global
106,0.2992746684986067,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.30522313306532617,0.5383932541421005,global
107,0.4854366559519963,0.0,0.0,0.125,0.125,0.5,0.0,0.38988141851657765,1.0486708953826291,global
108,0.5520680400493164,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.5540964260094746,1.0310059237617812,global
109,0.5144577759207635,0.3333333333333333,0.16666666666666666,0.0,0.0,0.3333333333333333,0.0,0.331761511786972,1.1899334926751706,global
11,0.5233851600964717,0.6666666666666666,0.3333333333333333,0.14285714285714285,0.14285714285714285,0.5,0.0,0.36034199116711885,2.1582103288960357,global
110,0.5241036299992888,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.615426718966497,1.0415558359195765,global
111,0.2602044650873543,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.27202787516809546,0.5055800492775819,global
112,0.21041312929368355,0.3333333333333333,0.16666666666666666,0.5,0.5,0.16666666666666666,0.0,0.09407153392734362,1.8095018448844458,global
113,0.411170711495285,0.0,0.0,0.0,0.0,0.5,0.0,0.4514597200585881,0.7861692437710778,global
114,0.5133960018969821,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.6033967590842256,1.0313900379155148,global
115,0.5555871710446711,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,0.0,0.6004980210911126,1.451326127292114,global
