dataset,community_method,diffusion_model,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,ml_backend,gnn_model_type,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth3,leiden,ic,cea_fim,comparator,"[11, 13, 167, 169, 178, 203, 209, 212, 235, 248, 251, 264, 265, 269, 277, 287, 291, 292, 304, 326, 327, 348, 358, 368, 403, 411, 416, 423, 429, 434, 444, 449, 452, 470, 499, 54, 65, 7, 79, 9]",43.163,3.1629999999999967,40,True,0.083216,0.014001189290209952,0.034607405354895024,500,full,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget40_leiden_cea_fim_history.csv,3.2923626000001605,0.3759059000003617,3.668268500000522,30,1000,30,1000,True,1,1000,2000042,43.167,3.1670000000000016,0.083232,0.014089981287145814,0.034571009356427096,0.40747379999993427,off,none,,,,0,14.387666666666666,1.0,"0,1,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0011416643619916109
synth3,leiden,ic,hybrid_siea,proposed,"[158, 167, 169, 178, 203, 209, 212, 216, 220, 235, 248, 251, 264, 269, 277, 28, 287, 290, 291, 292, 326, 327, 348, 358, 368, 370, 400, 403, 416, 423, 430, 434, 436, 448, 449, 463, 472, 65, 7, 9]",43.182,3.182000000000002,40,True,0.082792,0.01586051801419318,0.03346574099290341,500,full,True,True,True,True,False,off,history=synth3_budget40_leiden_hybrid_siea_history.csv,133.6583639999999,0.3930761999999959,134.0514401999999,30,1000,30,1000,False,,,,,,,,,,off,none,,,,0,14.394,1.0,"0,1,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0
synth3,leiden,ic,hybrid_siea_ml_gnn_two_tier_tuned_swap_local_search,ml_guided,"[117, 120, 134, 152, 159, 169, 178, 187, 203, 209, 216, 220, 251, 254, 269, 28, 291, 292, 293, 304, 314, 326, 331, 370, 391, 403, 411, 416, 423, 448, 452, 466, 470, 472, 474, 499, 53, 65, 78, 9]",42.86,2.8599999999999994,40,True,0.083,0.01398610463006167,0.03450694768496917,500,full,True,True,True,True,False,off,"ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; backend=gnn; spearman=0.560232; precision_at_budget=0.675000; label_variance=0.013862; target=gnn_label_score; target_variance=0.009670; gnn_model_type=gcn; node2vec_mode=off; feature_shape=(500, 47); edge_index_shape=(2, 2918); cache=miss; history=synth3_budget40_leiden_hybrid_siea_ml_gnn_two_tier_tuned_swap_local_search_history.csv",36.56056019999869,0.3340933999998015,36.89465359999849,30,1000,30,1000,True,2,1000,2000042,42.87,2.8699999999999974,0.08328,0.013490397325246812,0.034894801337376595,0.43140370000037365,two_tier,gnn,gcn,0.5602321358898184,0.675,0,14.286666666666667,1.0,"0,1,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0010412066920657548
synth3,leiden,ic,hybrid_siea_ml_gnn_node2vec_two_tier_tuned_swap_local_search,ml_guided,"[108, 116, 117, 13, 164, 167, 169, 178, 203, 205, 209, 251, 26, 264, 269, 277, 291, 292, 304, 325, 326, 330, 376, 391, 396, 400, 406, 411, 423, 434, 435, 446, 452, 453, 470, 499, 51, 65, 76, 9]",42.959,2.959000000000003,40,True,0.08151666666666667,0.01707571301835604,0.03222047682415531,500,full,True,True,True,True,True,input_concat,"ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; backend=gnn; spearman=0.027932; precision_at_budget=0.350000; label_variance=0.013862; target=gnn_label_score; target_variance=0.009670; gnn_model_type=gcn; node2vec_mode=input_concat; feature_shape=(500, 55); edge_index_shape=(2, 2918); cache=miss; history=synth3_budget40_leiden_hybrid_siea_ml_gnn_node2vec_two_tier_tuned_swap_local_search_history.csv",33.538270199999715,0.4479903999999806,33.986260599999696,30,1000,30,1000,False,,,,,,,,,,two_tier,gnn,gcn,0.02793249748847155,0.35,0,14.319666666666665,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,-0.0012452641687481017
