dataset,community_method,diffusion_model,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,ml_backend,gnn_model_type,ris_enabled,ris_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth3,leiden,ic,cea_fim,comparator,"[248, 327, 444]",3.0,0.0,3,True,0.0033333333333333335,0.1481481481481481,-0.07240740740740739,500,full,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget3_leiden_cea_fim_history.csv,0.012489199998526601,0.0006689999972877558,0.013158199995814357,2,3,2,3,True,1,11,2000042,3.090909090909091,0.09090909090909083,0.0033333333333333335,0.15359477124183005,-0.07513071895424836,0.0007130000012693927,off,none,,False,off,,,0,1.0,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0
synth3,leiden,ic,hybrid_siea,proposed,"[248, 327, 444]",3.0,0.0,3,True,0.0033333333333333335,0.1481481481481481,-0.07240740740740739,500,full,True,True,True,True,False,off,history=synth3_budget3_leiden_hybrid_siea_history.csv,0.051635300002089934,0.00046329999895533547,0.05209860000104527,2,3,2,3,False,,,,,,,,,,off,none,,False,off,,,0,1.0,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0
