dataset,community_method,diffusion_model,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,ml_backend,gnn_model_type,ris_enabled,ris_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,comparison_baseline_method,delta_f_score
synth3,leiden,ic,cea_fim,comparator,"[11, 291, 370, 439]",4.4,0.40000000000000036,4,True,0.007666666666666666,0.04292929292929296,-0.017631313131313147,500,full,False,True,False,True,False,off,CEA-style baseline: community EA without swarm guidance or local search.; history=synth3_budget4_leiden_cea_fim_history.csv,0.019989299999906507,0.0007168000001911423,0.02070610000009765,3,10,3,10,False,,,,,,,,,,off,none,,False,off,,,0,1.4666666666666668,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.014265705838876517
synth3,leiden,ic,hybrid_siea,proposed,"[203, 292, 370, 439]",4.1,0.09999999999999964,4,True,0.006666666666666667,0.070460704607046,-0.031897018970189664,500,full,True,True,True,True,False,off,history=synth3_budget4_leiden_hybrid_siea_history.csv,0.09281719999944471,0.0015887999998085434,0.09440599999925325,3,10,3,10,False,,,,,,,,,,off,none,,False,off,,,0,1.3666666666666665,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.0
synth3,leiden,ic,hybrid_siea_ml_gnn_ris_node2vec_two_tier_tuned_swap_local_search,ml_guided,"[291, 416, 483, 7]",4.6,0.5999999999999996,4,True,0.008333333333333333,0.04589371980676321,-0.01878019323671494,500,full,True,True,True,True,True,input_concat,"ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; backend=gnn_ris; weights=(gnn=1.000, ris=1.000, fairness=0.250, diversity=0.150); target=gnn_label_score; target_variance=0.009670; gnn_model_type=graphsage; node2vec_mode=input_concat; feature_shape=(500, 51); edge_index_shape=(2, 2918); cache=miss; label_variance=0.013862; ris_num_rr_sets=64; ris_mode=weak_group_weighted; ris_reuse_rr_sets=True; history=synth3_budget4_leiden_hybrid_siea_ml_gnn_ris_node2vec_two_tier_tuned_swap_local_search_history.csv",4.915290999999343,0.000751700000364508,4.916042699999707,3,10,3,10,False,,,,,,,,,,two_tier,gnn_ris,graphsage,True,weak_group_weighted,0.2548544621423316,0.0,0,1.5333333333333332,1.0,"1,0,2",0.45167406483169625,28,107,1,17.857142857142858,26.340780829236586,hybrid_siea,0.013116825733474724
