node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score
0,0.5281090537697108,0.0,0.0,0.5,0.5,0.0,0.0,0.09182306454475132,0.9064055634566981
1,0.5964134897732445,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.18643291716918511,2.158729276375612
10,0.27655788577945506,0.5,0.25,0.5,0.5,0.0,0.0,0.06452144738835902,1.3693990990009621
100,0.1639995741833528,0.5,0.25,0.5,0.5,0.16666666666666666,0.0,0.13170305495922358,1.4008142572453697
101,0.529507956869299,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.12146410149952894,0.5859078770749875
102,0.45950138833401416,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3333333333333333,1.0,0.24142605304999465,2.251554726387141
103,0.2582875273751443,0.0,0.0,1.0,1.0,0.0,1.0,0.0927266333055084,2.217891922484805
104,0.5156843237455072,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.2569598473476746,0.6582074100053694
105,0.2780257046590802,0.0,0.0,1.0,1.0,0.0,1.0,0.07455241817776966,2.224438960532464
106,0.27612537383334895,0.0,0.0,0.0,0.0,0.0,0.0,0.03724957014380196,0.20818758974086504
107,0.3209307501365435,0.0,0.0,0.25,0.25,0.0,0.0,0.06402993319728256,0.5002634983744935
108,0.24731613519324155,0.5,0.5,0.0,0.0,0.0,1.0,0.13198178916097936,2.175914010299661
109,0.1298766671968929,0.0,0.0,0.0,0.0,0.0,1.0,0.08306750315473413,1.1241406682997186
11,0.19602918615997758,0.0,0.0,0.0,0.0,0.0,1.0,0.10958508405930621,1.1810544639357068
110,0.3627894970497476,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.15420054358108945,0.3989661987005924
111,0.49520290285914614,0.0,0.0,0.2,0.2,0.0,0.0,0.09320989350033086,0.5839259894015346
112,0.4005544939672113,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,1.0,0.1776599168858703,2.018118779198063
113,0.05321859728308806,0.0,0.0,0.5,0.5,0.16666666666666666,0.0,0.0978455293454572,0.6597245631696779
114,0.25364225485998687,0.5,0.25,0.5,0.5,0.16666666666666666,0.0,0.0810928860913323,1.443320066171857
115,0.2474133151666103,0.0,0.0,0.0,0.0,0.0,0.0,0.08346827356142304,0.20657663004119642
116,0.29385086139954375,0.0,0.0,0.25,0.25,0.0,0.0,0.09365948339113005,0.4931593963361326
