stack_name,fim_stack,pipeline_mode,permutation_name,status,dataset,protected_attribute,budget,diffusion_model,ranking_policy,community_method,community_input_mode,clustering_method,clustering_input_mode,embedding_method,ranking_model,optimizer_mode,method_type,repair_enabled,swap_local_search_enabled,debias_mode,fairness_objective,spread_estimator_search,spread_estimator_final,search_spread_estimator,search_guidance_estimator,final_spread_estimator,method,variant_type,seed_set,total_spread,extra_spread,mf,dcv,f_score,MF,DCV,F-score,runtime_seconds,search_runtime_seconds,final_eval_runtime_seconds,scalability_mode,scalability_pass,candidate_pool_size,ris_num_rr_sets,effective_ris_num_rr_sets,zero_covered_groups_count,fraction_groups_covered,fairness_gate_status,fairness_gate_failures,protected_group_coverage_summary,mc_runs_search,mc_runs_eval,key_enabled_modules,use_community_features,community_feature_mode,allow_protected_features_in_ml,ml_score_weight,ris_score_weight,fair_ris_score_weight,fairness_bonus_weight,weak_group_bonus_weight,community_diversity_weight,protected_group_coverage_weight,spread_proxy_weight,community_balance_enabled,protected_group_balance_enabled,repair_mode,initial_seed_source,repaired_seed_sets,successful_swaps,final_community_coverage,final_seed_count_per_community,community_coverage_ratio,final_protected_group_coverage,num_communities,community_modularity,score_table_path,embeddings_cache_path,embedding_cache_status,community_cache_status,ris_cache_status,score_cache_status,fitness_cache_hits,marginal_cache_hits,swap_cache_hits,community_assignments_path,community_sizes_path,diagnostics_path,candidate_score_components_constant,notes,skip_reason,skipped_reason
community_aware_fair_greedy,community_aware_fair_greedy,baseline,community_aware_fair_greedy,ok,graph_spa_500_0,gender,40,ic,professor_priority,leiden,graph,none,none,none,fairness_weighted_greedy,local_search,non_ml_baseline,True,True,none,f_score,monte_carlo,monte_carlo,monte_carlo,none,monte_carlo,community_round_robin+fairness_weighted_greedy+swap_local_search,interpretable_baseline,"[112, 12, 13, 14, 15, 17, 18, 21, 223, 229, 238, 24, 241, 264, 265, 267, 268, 269, 271, 278, 281, 284, 287, 298, 30, 303, 312, 313, 326, 33, 331, 38, 39, 40, 44, 464, 465, 481, 53, 59]",42.62,2.6199999999999974,0.08384313725490196,0.00819370451136816,0.0378247163717669,0.08384313725490196,0.00819370451136816,0.0378247163717669,61.33435399999962,61.225072199999886,0.10928179999973509,auto,True,500,128,128,0,1.0,pass,,"{""female"": 20, ""male"": 20}",20,300,diffusion=ic | community=leiden | embedding=none | clustering=none | clustering_input_mode=none | ranking=fairness_weighted_greedy | optimizer=local_search | debias_mode=none | search_estimator=monte_carlo | final_estimator=monte_carlo,True,basic,False,0.7,0.7,1.2,1.0,1.0,0.5,1.0,0.4,True,True,balanced,fairness_weighted_greedy,,,"{""0"": 1, ""1"": 3, ""10"": 2, ""11"": 2, ""12"": 2, ""13"": 2, ""14"": 4, ""15"": 2, ""16"": 2, ""17"": 2, ""18"": 2, ""2"": 2, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}","{""0"": 1, ""1"": 3, ""10"": 2, ""11"": 2, ""12"": 2, ""13"": 2, ""14"": 4, ""15"": 2, ""16"": 2, ""17"": 2, ""18"": 2, ""2"": 2, ""3"": 2, ""4"": 3, ""5"": 2, ""6"": 2, ""7"": 2, ""8"": 1, ""9"": 2}",1.0,"{""female"": 20, ""male"": 20}",19,0.8021797497446647,,,,miss,,,,,,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_community_aware_fair_greedy_leiden_community_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_community_aware_fair_greedy_leiden_community_sizes.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_community_aware_fair_greedy_diagnostics.json,,"initial_rr=[12, 13, 14, 15, 17, 18, 21, 223, 229, 238, 24, 241, 264, 265, 267, 268, 269, 271, 278, 281, 284, 287, 30, 303, 312, 326, 33, 331, 38, 39, 40, 44, 464, 465, 481, 485, 5, 53, 59, 6]; greedy=[120, 125, 126, 131, 139, 14, 141, 142, 17, 171, 172, 184, 190, 213, 219, 228, 246, 267, 274, 304, 318, 32, 321, 340, 341, 361, 375, 376, 382, 395, 402, 406, 440, 481, 483, 493, 495, 53, 72, 86]; objective=professor_priority; communities=19; modularity=0.802180",,
graphsage_community_siea,graphsage_community_siea,ml_guided_community_siea,graphsage_community_siea,ok,graph_spa_500_0,gender,40,ic,professor_priority,leiden,graph,none,none,graphsage,graphsage,hybrid_si_ea,ml_guided_hybrid,True,True,none,f_score,fairness_aware_ris,monte_carlo,ris_guidance,fair_ris_guidance,monte_carlo,embedding+ranking+hybrid_si_ea,ml_guided,"[127, 13, 139, 14, 17, 18, 20, 21, 22, 223, 238, 263, 264, 265, 266, 267, 268, 27, 271, 274, 280, 285, 287, 301, 303, 32, 33, 350, 37, 38, 39, 40, 411, 434, 44, 464, 481, 52, 6, 92]",42.763333333333335,2.7633333333333354,0.08426143790849674,0.0073966916254380516,0.03843237314152935,0.08426143790849674,0.0073966916254380516,0.03843237314152935,25.032219700000496,24.949136100000032,0.08308360000046378,auto,True,150,128,128,0,1.0,pass,,"{""female"": 20, ""male"": 20}",20,300,diffusion=ic | community=leiden | embedding=graphsage | clustering=none | clustering_input_mode=none | ranking=graphsage | optimizer=hybrid_si_ea | debias_mode=none | search_estimator=fairness_aware_ris | final_estimator=monte_carlo,True,basic,False,0.7,0.7,1.2,1.0,1.0,0.5,1.0,0.4,True,True,balanced,combined_candidate_score,1233.0,160.0,"{""0"": 2, ""1"": 3, ""10"": 1, ""11"": 3, ""12"": 1, ""13"": 3, ""14"": 4, ""15"": 1, ""16"": 3, ""17"": 1, ""18"": 1, ""2"": 4, ""3"": 2, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}","{""0"": 2, ""1"": 3, ""10"": 1, ""11"": 3, ""12"": 1, ""13"": 3, ""14"": 4, ""15"": 1, ""16"": 3, ""17"": 1, ""18"": 1, ""2"": 4, ""3"": 2, ""4"": 3, ""5"": 3, ""6"": 2, ""7"": 1, ""8"": 1, ""9"": 1}",1.0,"{""female"": 20, ""male"": 20}",19,0.8021797497446647,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_graphsage_community_siea_combined_candidate_scores.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\embeddings\graph_spa_500_0_graphsage_embeddings.pkl,miss,miss,miss,miss,509.0,13843.0,0.0,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_graphsage_community_siea_leiden_community_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_graphsage_community_siea_leiden_community_sizes.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_graphsage_community_siea_diagnostics.json,False,main_method=true; ml_guided_only=true; communities=19; modularity=0.802180; embedding_cache=miss; target=label_score; backend=gnn; candidate_pool=150; validation_spearman=0.3349; validation_precision_at_budget=0.5000; history=graph_spa_500_0_graphsage_community_siea_history.csv,,
node2vec_xgboost_community_siea,node2vec_xgboost_community_siea,ml_guided_community_siea,node2vec_xgboost_community_siea,ok,graph_spa_500_0,gender,40,ic,professor_priority,leiden,graph,none,none,node2vec,xgboost,hybrid_si_ea,ml_guided_hybrid,True,True,none,f_score,fairness_aware_ris,monte_carlo,ris_guidance,fair_ris_guidance,monte_carlo,embedding+ranking+hybrid_si_ea,ml_guided,"[104, 113, 117, 13, 154, 17, 18, 189, 22, 229, 238, 245, 263, 264, 266, 267, 269, 271, 274, 278, 281, 282, 284, 285, 287, 296, 317, 326, 33, 331, 347, 35, 37, 38, 477, 489, 492, 61, 77, 95]",42.43,2.4299999999999997,0.0836078431372549,0.007377780242429246,0.03811503144741283,0.0836078431372549,0.007377780242429246,0.03811503144741283,23.38003910000043,23.238637299999937,0.1414018000004944,auto,True,150,128,128,0,1.0,pass,,"{""female"": 20, ""male"": 20}",20,300,diffusion=ic | community=leiden | embedding=node2vec | clustering=none | clustering_input_mode=none | ranking=xgboost | optimizer=hybrid_si_ea | debias_mode=none | search_estimator=fairness_aware_ris | final_estimator=monte_carlo,True,basic,False,0.7,0.7,1.2,1.0,1.0,0.5,1.0,0.4,True,True,balanced,combined_candidate_score,1151.0,160.0,"{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 4, ""12"": 3, ""13"": 3, ""14"": 2, ""15"": 3, ""16"": 3, ""17"": 1, ""18"": 1, ""2"": 2, ""3"": 5, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}","{""0"": 1, ""1"": 2, ""10"": 2, ""11"": 4, ""12"": 3, ""13"": 3, ""14"": 2, ""15"": 3, ""16"": 3, ""17"": 1, ""18"": 1, ""2"": 2, ""3"": 5, ""5"": 3, ""6"": 1, ""7"": 2, ""8"": 1, ""9"": 1}",0.9473684210526315,"{""female"": 20, ""male"": 20}",19,0.8021797497446647,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_node2vec_xgboost_community_siea_combined_candidate_scores.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\embeddings\graph_spa_500_0_node2vec_embeddings.pkl,miss,miss,miss,miss,502.0,12933.0,4.0,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_node2vec_xgboost_community_siea_leiden_community_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_node2vec_xgboost_community_siea_leiden_community_sizes.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_node2vec_xgboost_community_siea_diagnostics.json,False,main_method=true; lightweight_quality_runtime=true; ml_guided_only=true; communities=19; modularity=0.802180; embedding_cache=miss; target=label_score; backend=tabular; candidate_pool=150; validation_spearman=0.9729; validation_precision_at_budget=0.8750; history=graph_spa_500_0_node2vec_xgboost_community_siea_history.csv,,
gcn_community_siea,gcn_community_siea,ml_guided_community_siea,gcn_community_siea,ok,graph_spa_500_0,gender,40,ic,professor_priority,leiden,graph,none,none,gcn,gcn,hybrid_si_ea,ml_guided_hybrid,True,True,none,f_score,fairness_aware_ris,monte_carlo,ris_guidance,fair_ris_guidance,monte_carlo,embedding+ranking+hybrid_si_ea,ml_guided,"[1, 12, 14, 15, 163, 17, 21, 223, 226, 238, 24, 263, 264, 265, 269, 270, 271, 275, 297, 302, 303, 312, 317, 326, 33, 35, 36, 37, 39, 40, 44, 464, 481, 492, 5, 50, 61, 77, 84, 97]",42.54666666666667,2.546666666666667,0.08363398692810459,0.00857497496021287,0.03752950598394586,0.08363398692810459,0.00857497496021287,0.03752950598394586,21.51189169999907,21.41775189999953,0.09413979999953881,auto,True,150,128,128,0,1.0,pass,,"{""female"": 20, ""male"": 20}",20,300,diffusion=ic | community=leiden | embedding=gcn | clustering=none | clustering_input_mode=none | ranking=gcn | optimizer=hybrid_si_ea | debias_mode=none | search_estimator=fairness_aware_ris | final_estimator=monte_carlo,True,basic,False,0.7,0.7,1.2,1.0,1.0,0.5,1.0,0.4,True,True,balanced,combined_candidate_score,1223.0,160.0,"{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 4, ""13"": 3, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 1, ""2"": 6, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 2}","{""0"": 3, ""1"": 1, ""10"": 1, ""11"": 1, ""12"": 4, ""13"": 3, ""14"": 1, ""15"": 2, ""16"": 2, ""17"": 1, ""18"": 1, ""2"": 6, ""3"": 4, ""4"": 3, ""5"": 2, ""6"": 1, ""7"": 1, ""8"": 1, ""9"": 2}",1.0,"{""female"": 20, ""male"": 20}",19,0.8021797497446647,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_gcn_community_siea_combined_candidate_scores.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\embeddings\graph_spa_500_0_gcn_embeddings.pkl,miss,miss,miss,miss,505.0,13667.0,0.0,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_gcn_community_siea_leiden_community_assignments.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_gcn_community_siea_leiden_community_sizes.csv,C:\Users\User\Desktop\VKU-Internship-2026\results\professor_priority_graph_spa\runs\seed_42\budget_40\gender\graph_spa_500_0\gender\graph_spa_500_0_gcn_community_siea_diagnostics.json,False,optional_gnn_comparison=true; ml_guided_only=true; communities=19; modularity=0.802180; embedding_cache=miss; target=label_score; backend=gnn; candidate_pool=150; validation_spearman=0.3667; validation_precision_at_budget=0.4750; history=graph_spa_500_0_gcn_community_siea_history.csv,,
