rank,node
1,1007
2,1137
3,1159
4,1197
5,1237
6,1318
7,1324
8,1335
9,1494
10,1550
11,1593
12,1809
13,1847
14,1849
15,1897
16,1931
17,2016
18,2121
19,2289
20,2347
21,2411
22,2628
23,2659
24,2684
25,2848
26,2868
27,3034
28,3123
29,3232
30,3259
31,3300
32,3307
33,3341
34,3364
35,3413
36,3634
37,3721
38,3737
39,3782
40,3838
41,3854
42,4018
43,4047
44,4058
45,434
46,4436
47,4446
48,4572
49,4604
50,4671
51,4727
52,4854
53,4945
54,496
55,4980
56,4985
57,5020
58,5345
59,5370
60,5513
61,5615
62,5679
63,5730
64,616
65,695
66,737
67,775
68,822
69,947
70,97
