epoch,train_loss,validation_loss
1,0.0833965390920639,0.06548196822404861
2,0.05261498689651489,0.041363127529621124
3,0.030761467292904854,0.02344590425491333
4,0.01748615875840187,0.01519030425697565
5,0.01531807892024517,0.017094088718295097
6,0.022627955302596092,0.020067863166332245
7,0.025809403508901596,0.019503820687532425
8,0.025655288249254227,0.016993409022688866
9,0.02168140560388565,0.014966021291911602
10,0.0165973249822855,0.014683174900710583
11,0.013691261410713196,0.01612931489944458
12,0.014035524800419807,0.01854441501200199
13,0.014649834483861923,0.020986400544643402
14,0.015603945590555668,0.02269969880580902
15,0.016881730407476425,0.023469088599085808
16,0.017936071380972862,0.023293672129511833
17,0.01844984106719494,0.02220582403242588
18,0.016916997730731964,0.020437713712453842
19,0.015942873433232307,0.01834818162024021
20,0.013820276595652103,0.016380973160266876
21,0.013885973021388054,0.014940912835299969
22,0.013505310751497746,0.014248203486204147
23,0.013449708931148052,0.014114298857748508
24,0.013741542585194111,0.014127165079116821
25,0.015425625257194042,0.014064528048038483
26,0.014044673182070255,0.013999122194945812
27,0.014013002626597881,0.014064330607652664
28,0.01391667127609253,0.014347516000270844
29,0.012895884923636913,0.014828274957835674
30,0.01301715150475502,0.01541261188685894
31,0.012907040305435658,0.015986930578947067
32,0.012834732420742512,0.01639373227953911
33,0.013233371078968048,0.016538038849830627
34,0.012410128489136696,0.016519134864211082
35,0.013105356134474277,0.016259098425507545
36,0.013504073023796082,0.015712562948465347
37,0.012553679756820202,0.015003667213022709
38,0.012160484679043293,0.014421585947275162
39,0.012142091989517212,0.014045223593711853
40,0.012375954538583755,0.013890366069972515
41,0.01247123908251524,0.013787985779345036
42,0.011968052946031094,0.01375789474695921
43,0.01196257583796978,0.01379502285271883
44,0.01236883644014597,0.013883785344660282
45,0.012046475894749165,0.014019940048456192
46,0.011938081122934818,0.01409583818167448
47,0.01176336221396923,0.014136952348053455
48,0.011803863570094109,0.013769286684691906
49,0.011681805364787579,0.013369902968406677
50,0.011336644180119038,0.01308924239128828
