node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,protected_group_coverage_bonus,spread_proxy_score,combined_score,score_normalization
10007042,0.8687802853449158,0.0,0.0,0.2,0.2,0.0,0.0,0.009205896440463325,1.044950529783135,global
10046442,0.8795811123396522,0.5,0.25,0.06666666666666667,0.06666666666666667,0.22727272727272727,0.0,0.08280454119879181,1.8978401808530048,global
10074432,0.8943086871650044,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.17324695545793248,0.015256902777583672,2.622515217659235,global
10077242,0.8627530606081661,0.0,0.0,0.2,0.2,0.09090909090909091,0.0,0.029955555563576222,1.0950886040448755,global
10093672,0.8309259515965167,0.0,0.0,0.0,0.0,0.0,0.0,0.0018936911549223934,0.499313047419879,global
10104672,0.8618279436794481,0.0,0.0,1.0,1.0,0.045454545454545456,0.0,0.013955568060371598,3.1454062661590907,global
10107362,0.8302621222760629,0.0,0.0,0.0,0.0,0.0,0.0,0.0028109071756930496,0.4992816362359149,global
10125152,0.8611439058924195,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.01517378690712321,0.8692497692141661,global
10125822,0.770005841648781,0.0,0.0,0.047619047619047616,0.047619047619047616,0.045454545454545456,0.0,0.0658221657393221,0.6348691678217939,global
10130032,0.8262470111301805,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.006462096592338598,1.3649997119817103,global
10138132,0.8162150222559843,0.0,0.0,0.0,0.0,0.22727272727272727,1.0,0.2040488336226034,2.6849849104389953,global
10144442,0.8261424194930254,0.0,0.0,1.0,1.0,0.0,0.0,0.0032048165705247625,3.0969673783240252,global
10166632,0.8438346276554131,0.0,0.0,1.0,1.0,0.0,0.0,0.0003651796195771009,3.1064468484410788,global
10214802,0.8337615448131466,0.0,0.0,0.0,0.0,0.0,0.0,0.060325300428079105,0.5243870470591195,global
10241462,0.8247337560174043,0.0,0.0,0.0,0.0,0.0,0.0,0.04013530676090027,0.5108943763148026,global
10241802,0.8242480210747978,0.0,0.0,0.0,0.0,0.0,0.0,0.00033168504074311696,0.4946814866611759,global
10263662,0.8055759724136309,0.0,0.0,0.0,0.0,0.0,0.0,0.0115460205189641,0.48796399165576415,global
10270072,0.8324485415847158,0.0,0.0,0.25,0.25,0.045454545454545456,0.0,0.02081009769116388,1.1805204367545679,global
10270872,0.8475741787498023,0.0,0.0,0.0,0.0,0.0,0.0,0.023347842628866276,0.517883644301428,global
10284152,0.8994204239141317,0.5,0.5,0.5,0.5,0.045454545454545456,0.17324695545793248,0.02290469312624257,3.968035315242114,global
1032291,0.8452506564503237,0.0,0.0,0.5,0.5,0.0,0.17324695545793248,0.012894489200412342,2.1588021004662243,global
10326,0.8307986553539375,0.0,0.0,0.3333333333333333,0.3333333333333333,0.13636363636363635,0.0,0.042259238313734855,1.4502313733863412,global
10332972,0.8495729807399294,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.01707538086558824,0.8630678517060579,global
10348132,0.8630192789454997,0.0,0.0,0.6,0.6,0.09090909090909091,0.0,0.031842679827430755,2.1360031847528176,global
10367842,0.8290627378170643,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.010283795787668162,0.8480450719211707,global
10507892,0.8352328374383078,0.0,0.0,0.0,0.0,0.0,0.0,0.0009388920085524566,0.5015152592664056,global
10523552,0.856250023935578,0.0,0.0,0.5,0.5,0.045454545454545456,0.17324695545793248,0.027523306756030538,2.193980520706897,global
10524,0.8800642554010973,0.0,0.0,0.2857142857142857,0.2857142857142857,0.09090909090909091,0.0,0.03712706150211031,1.3312010661531908,global
10545772,0.833568316311262,0.5,0.5,0.0,0.0,0.045454545454545456,0.17324695545793248,0.03415824494612768,2.633025471408346,global
1058591,0.8633793794585143,0.0,0.0,0.0,0.0,0.0,1.0,0.06725132587494662,2.544928158025087,global
10599392,0.8547220604101163,0.0,0.0,0.0,0.0,0.0,0.0,0.0011934876690423426,0.5133106313136867,global
10609292,0.8335989264961651,0.0,0.0,0.5,0.5,0.045454545454545456,0.0,0.013550925444676025,1.8283069988028422,global
10618402,0.8833523199456402,0.0,0.0,0.0,0.0,0.0,0.0,0.002568667803049908,0.531038859088604,global
10638782,0.7715434084700762,0.0,0.0,0.14705882352941177,0.14705882352941177,0.2727272727272727,0.0,0.15252636351484633,1.0426531680280913,global
10645702,0.8474923395892272,0.0,0.0,0.5,0.5,0.0,0.0,0.004150290576407975,1.8101555199840995,global
10651272,0.8468958376303395,0.0,0.0,1.0,1.0,0.09090909090909091,0.0,0.030072593342986394,3.165621085369944,global
10659742,0.8130051381479497,0.0,0.0,0.08333333333333333,0.08333333333333333,0.13636363636363635,0.0,0.06573452354543496,0.7989453771554287,global
10701982,0.8002472972629188,0.0,0.0,0.0,0.0,0.0,0.0,0.005433207442760388,0.48232166133485543,global
10717512,0.8523539016770223,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.011116920215337136,0.8623530200082132,global
10722102,0.8611439058924195,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.01517378690712321,0.8692497692141661,global
