node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
459,0.3741460486807331,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.11030636306713938,0.0,0.0,2.506024779303369,2.506024779303369,2.506024779303369,global
46,0.6492517317300904,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.1023927339135255,0.0,0.0,2.0954333057764734,2.0954333057764734,2.0954333057764734,global
460,0.5383511193671714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03204254217405396,0.0,0.0,0.3896628004266416,0.3896628004266416,0.3896628004266416,global
461,0.427427029313071,0.0,0.0,0.5714285714285714,0.5714285714285714,0.3333333333333333,0.0,0.0,0.0,0.2169012281378651,0.0,0.0,1.2050070308219147,1.2050070308219147,1.2050070308219147,global
462,0.31168758610151887,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0899015468070774,0.0,0.0,1.854141928993894,1.854141928993894,1.854141928993894,global
463,0.31168758610151887,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.08475645233681005,0.0,0.0,1.852083891205787,1.852083891205787,1.852083891205787,global
464,0.5562193037197463,0.0,0.0,0.375,0.375,0.8333333333333334,0.0,0.0,1.0,0.46317918955792653,0.0,0.0,2.357958521760326,2.357958521760326,2.357958521760326,global
465,0.4921146702518857,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,1.0,0.220065950375222,0.0,0.0,2.982506649326409,2.982506649326409,2.982506649326409,global
466,0.2892867208677167,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0787144551318236,0.0,0.0,2.5839864866601308,2.5839864866601308,2.5839864866601308,global
467,0.45298514122965916,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.16235221598660082,0.0,0.0,1.6820304852554018,1.6820304852554018,1.6820304852554018,global
468,0.34619421782584664,0.0,0.0,0.25,0.25,0.0,0.0,0.0,1.0,0.16722850610644058,0.0,0.0,1.6092273549206688,1.6092273549206688,1.6092273549206688,global
469,0.2845467411545787,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.14077856532385846,0.0,0.0,1.6554941449377485,1.6554941449377485,1.6554941449377485,global
47,0.5870080441190849,0.0,0.0,0.7142857142857143,0.7142857142857143,0.0,0.0,0.0,1.0,0.24167509658514355,0.0,0.0,2.364718526660274,2.364718526660274,2.364718526660274,global
470,0.3547432452626944,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.11074082520011926,0.0,0.0,2.642616601763934,2.642616601763934,2.642616601763934,global
471,0.3073520609900904,0.5,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.08401072166502732,0.0,0.0,1.498750731359074,1.498750731359074,1.498750731359074,global
472,0.37637529262047653,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.08225364538278905,0.0,0.0,0.6963641629874492,0.6963641629874492,0.6963641629874492,global
473,0.39532983390130544,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.12062520094024702,0.0,0.0,2.6749809641070126,2.6749809641070126,2.6749809641070126,global
474,0.28055385043009184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.08535484647538712,0.0,0.0,1.2305296338912193,1.2305296338912193,1.2305296338912193,global
475,0.33152477052650653,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.08505378784679912,0.0,0.0,2.6160888545072742,2.6160888545072742,2.6160888545072742,global
476,0.4490429876757792,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.12965419229167532,0.0,0.0,2.7161917682897156,2.7161917682897156,2.7161917682897156,global
477,0.4059864759727452,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.09493816358692687,0.0,0.0,4.022165798615692,4.022165798615692,4.022165798615692,global
478,0.24621868891956852,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.11309567967584722,0.0,0.0,2.567591354114037,2.567591354114037,2.567591354114037,global
479,0.6897737457879292,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.11566212512185649,0.0,0.0,0.5957731387669597,0.5957731387669597,0.5957731387669597,global
48,0.5171345440751168,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.148010152533118,0.0,0.0,2.621198241865829,2.621198241865829,2.621198241865829,global
480,0.557624292702617,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.003681694496066006,0.0,0.0,1.2418096826902583,1.2418096826902583,1.2418096826902583,global
481,0.5054249472282396,0.5,0.25,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.4405837868582553,0.0,0.0,2.0466976444697362,2.0466976444697362,2.0466976444697362,global
482,0.23902463467655724,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07010090418381323,0.0,0.0,0.19535760594711538,0.19535760594711538,0.19535760594711538,global
483,0.22118921853541695,0.0,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.1252815000182451,0.0,0.0,1.8049450529820898,1.8049450529820898,1.8049450529820898,global
484,0.17371380749919893,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.09653727492870005,0.0,0.0,2.3602145752209194,2.3602145752209194,2.3602145752209194,global
485,0.2171471864238021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10540664835417374,0.0,0.0,0.19416568983833093,0.19416568983833093,0.19416568983833093,global
486,0.16214219127311894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08053116156443464,0.0,0.0,0.1457119985169571,0.1457119985169571,0.1457119985169571,global
487,0.15138208559612892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04173516776211195,0.0,0.0,0.12266152702213502,0.12266152702213502,0.12266152702213502,global
488,0.19703996483013442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0413566790942682,0.0,0.0,0.15447064701880137,0.15447064701880137,0.15447064701880137,global
