node_id,ml_score,ris_score,fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,cluster_diversity_bonus,cluster_coverage_bonus,protected_group_coverage_bonus,spread_proxy_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,combined_score,score_normalization
0,0.10911207063027276,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.09182306454475132,0.0,0.0,0.7131076752590914,0.7131076752590914,0.7131076752590914,hybrid
1,0.07675044248810584,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.5,0.18631478706344362,0.0,0.0,1.4282512245670513,1.4282512245670513,1.4282512245670513,hybrid
10,0.09976712585690936,0.5,0.375,0.5,0.5,0.0,0.0,0.0,0.0,0.06452144738835902,0.0,0.0,1.79564556705518,1.79564556705518,1.79564556705518,hybrid
100,0.6563559142859011,0.5,0.375,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.13170305495922358,0.0,0.0,2.2954636953171534,2.2954636953171534,2.2954636953171534,hybrid
101,0.5814242847251463,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.12146410149952894,0.0,0.0,0.6555826399074138,0.6555826399074138,0.6555826399074138,hybrid
102,0.5754576785555076,0.0,0.0,0.6666666666666666,0.6666666666666666,0.3666666666666667,0.0,0.0,0.5,0.25334982125824695,0.0,0.0,1.9874936368254872,1.9874936368254872,1.9874936368254872,hybrid
103,0.2020300507735891,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.07208955072332883,0.0,0.0,1.870256855830844,1.870256855830844,1.870256855830844,hybrid
104,0.38499592965685336,0.0,0.0,0.1111111111111111,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.2569598473476746,0.0,0.0,0.5889477563655339,0.5889477563655339,0.5889477563655339,hybrid
105,0.35018886588522924,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.049935710738785936,0.0,0.0,1.9651064904151747,1.9651064904151747,1.9651064904151747,hybrid
106,0.47912613893706024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03724957014380196,0.0,0.0,0.35028812531346293,0.35028812531346293,0.35028812531346293,hybrid
107,0.26606246659414756,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.06402993319728256,0.0,0.0,0.5118556998948163,0.5118556998948163,0.5118556998948163,hybrid
108,0.5590016123939838,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.11994044471121126,0.0,0.0,2.2892773065602734,2.2892773065602734,2.2892773065602734,hybrid
109,0.4315330187467793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.060315351824168376,0.0,0.0,0.8261992538524128,0.8261992538524128,0.8261992538524128,hybrid
11,0.05468770815832726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.09263951218036601,0.0,0.0,0.5753372005829755,0.5753372005829755,0.5753372005829755,hybrid
110,0.28083478290886377,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.15420054358108945,0.0,0.0,0.3415978988019737,0.3415978988019737,0.3415978988019737,hybrid
111,0.5909762271318096,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.09320989350033086,0.0,0.0,0.6909673163923991,0.6909673163923991,0.6909673163923991,hybrid
112,0.31659045490833876,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.5,0.17562075471624933,0.0,0.0,1.5918616203223368,1.5918616203223368,1.5918616203223368,hybrid
113,0.6114719979559959,0.0,0.0,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.0978455293454572,0.0,0.0,1.1505019436407131,1.1505019436407131,1.1505019436407131,hybrid
114,0.3141168146823478,0.5,0.375,0.5,0.5,0.16666666666666666,0.0,0.0,0.0,0.0810928860913323,0.0,0.0,2.03565225804751,2.03565225804751,2.03565225804751,hybrid
115,6.678061080761354e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08346827356142304,0.0,0.0,0.03338735617099678,0.03338735617099678,0.03338735617099678,hybrid
116,0.38041331058201333,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.09365948339113005,0.0,0.0,0.6037531107638613,0.6037531107638613,0.6037531107638613,hybrid
117,0.44623459565517193,0.5,0.375,0.75,0.75,0.0,0.0,0.0,0.0,0.08925978183222522,0.0,0.0,2.3480681296915105,2.3480681296915105,2.3480681296915105,hybrid
118,0.036939604436154294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0693276414211072,0.0,0.0,0.053588779673750885,0.053588779673750885,0.053588779673750885,hybrid
119,0.25756779481779035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09595224026628718,0.0,0.0,0.2186783524789681,0.2186783524789681,0.2186783524789681,hybrid
12,0.447634346129973,0.0,0.0,0.4375,0.4375,0.7333333333333334,0.0,0.0,0.5,0.7311047559988637,0.0,0.0,1.9974526113571933,1.9974526113571933,1.9974526113571933,hybrid
120,0.4368969428399603,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.09088798150801669,0.0,0.0,2.042183052591179,2.042183052591179,2.042183052591179,hybrid
121,0.5706062635567519,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.09046035525611901,0.0,0.0,2.135608526592174,2.135608526592174,2.135608526592174,hybrid
122,0.6936898818803408,0.0,0.0,0.8333333333333334,0.8333333333333334,0.3333333333333333,0.0,0.0,0.0,0.20513382659531032,0.0,0.0,1.7343031146210293,1.7343031146210293,1.7343031146210293,hybrid
123,0.39637352604505516,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.08945770015316332,0.0,0.0,2.013244548292804,2.013244548292804,2.013244548292804,hybrid
124,0.2267758784601006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023609278151872526,0.0,0.0,0.1681868261828194,0.1681868261828194,0.1681868261828194,hybrid
125,0.19352458636938377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.11574445165273778,0.0,0.0,0.6817649911196637,0.6817649911196637,0.6817649911196637,hybrid
126,0.34518612471004984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.136566295568821,0.0,0.0,0.7962568055245632,0.7962568055245632,0.7962568055245632,hybrid
127,0.6162567841999542,0.0,0.0,0.8333333333333334,0.8333333333333334,0.5,0.0,0.0,0.0,0.2709270048834505,0.0,0.0,1.7897505508933482,1.7897505508933482,1.7897505508933482,hybrid
128,0.5687329299330774,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.09046423256073399,0.0,0.0,2.884298743977448,2.884298743977448,2.884298743977448,hybrid
129,0.34850147902283424,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.5,0.10243552630307945,0.0,0.0,1.3849252458372159,1.3849252458372159,1.3849252458372159,hybrid
13,0.6717522731484108,0.0,0.0,0.29411764705882354,0.29411764705882354,1.0,0.0,0.0,0.0,0.8270553351277328,0.0,0.0,1.6539899017255688,1.6539899017255688,1.6539899017255688,hybrid
130,0.3517449700676959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.04302826504481555,0.0,0.0,0.7634327850653133,0.7634327850653133,0.7634327850653133,hybrid
131,0.2882530180196131,0.0,0.0,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.09512707113513814,0.0,0.0,1.5231612744011176,1.5231612744011176,1.5231612744011176,hybrid
132,0.2371989739347493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039597016153972375,0.0,0.0,0.18187808821591345,0.18187808821591345,0.18187808821591345,hybrid
133,0.39471851878433384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010730640431867704,0.0,0.0,0.2805952193217808,0.2805952193217808,0.2805952193217808,hybrid
134,0.19359658296433424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1465267792259881,0.0,0.0,0.6941283197654292,0.6941283197654292,0.6941283197654292,hybrid
135,0.5453437001547512,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.07159309047208265,0.0,0.0,1.6103778262971586,1.6103778262971586,1.6103778262971586,hybrid
136,0.2020300507735891,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.060679865446012074,0.0,0.0,1.8656929817199173,1.8656929817199173,1.8656929817199173,hybrid
137,0.6075323393753165,0.5,0.5,1.0,1.0,0.18333333333333335,0.0,0.0,0.5,0.15222605532582761,0.0,0.0,3.6278297263597192,3.6278297263597192,3.6278297263597192,hybrid
138,0.19043959093092316,0.5,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.07558412800852769,0.0,0.0,1.2635413648550573,1.2635413648550573,1.2635413648550573,hybrid
139,0.3166569406528116,0.0,0.0,0.4,0.4,0.3666666666666667,0.0,0.0,0.5,0.24580635442385215,0.0,0.0,1.4833157335598424,1.4833157335598424,1.4833157335598424,hybrid
