node_id,candidate_group,node,protected_group,ml_score,graphsage_pred_score,graphsage_embedding_norm,ris_score,fair_ris_score,shortfall_gain,group_quota,current_group_seed_count,group_shortfall_ratio,dynamic_shortfall_gain,candidate_group_shortfall_ratio,dynamic_shortfall_bonus,shortfall_weighted_fair_ris_score,fairness_bonus,weak_group_bonus,community_diversity_bonus,community_diversity_score,cluster_diversity_bonus,cluster_coverage_bonus,ingroup_ris_score,protected_group_coverage_bonus,spread_proxy_score,weakest_group,candidate_helps_weakest_group,weakest_group_gain,weakest_group_ris_coverage,mf_gain_score,mf_lift_adjusted_score,under_served_group_bonus,over_served_group_penalty,parity_adjusted_score,base_combined_score,target_deficit_adjusted_score,combined_score,score_normalization,community_id
10007042,1,10007042,1,0.5244974844108213,0.5244974844108213,0.24003956067997884,0.3333333333333333,0.25,0.29708700291882817,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.47654163738580463,0.2,0.2,0.9448920547442505,0.9448920547442505,0.0,0.0,0.0,0.0,0.12024963866498928,0,False,0.0,0.0,0.0,4.811963072904924,0.0,0.0,4.811963072904924,3.4527132485900967,4.811963072904924,4.811963072904924,per_group,0
10046442,1,10046442,1,0.5537397391721588,0.5537397391721588,0.2755321522706673,0.3333333333333333,0.25,0.29708700291882817,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.47654163738580463,0.06666666666666667,0.06666666666666667,0.9448920547442505,0.9448920547442505,0.0,0.0,0.0,0.0,0.16843067365002323,0,False,0.0,0.0,0.0,4.316477853876171,0.0,0.0,4.316477853876171,2.9572280295613433,4.316477853876171,4.316477853876171,per_group,0
10074432,0,10074432,0,0.25156818613732074,0.25156818613732074,0.09460418921014474,0.0,0.0,0.0,26,0,1.0,0.26539712744873545,1.0,0.26539712744873545,0.0,0.6666666666666666,0.6666666666666666,0.856517786987536,0.856517786987536,0.0,0.0,0.0,0.17324695545793248,0.007427283455145127,0,True,0.0,0.0,0.0,4.389491807111668,0.0,0.0,4.389491807111668,3.9913961159385645,4.389491807111668,4.389491807111668,per_group,1
10077242,1,10077242,1,0.2254315676137905,0.2254315676137905,0.05018316748169805,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,0.2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.01997088769904264,0,False,0.0,0.0,0.0,2.845586344715573,0.0,0.0,2.845586344715573,1.4863365204007453,2.845586344715573,2.845586344715573,per_group,2
10093672,1,10093672,1,0.12394147608455892,0.12394147608455892,0.03566973538482038,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,0.0,0.0,0.6017693542801372,0.6017693542801372,0.0,0.0,0.0,0.0,0.0008165895972586594,0,False,0.0,0.0,0.0,1.7595326592017209,0.0,0.0,1.7595326592017209,0.4002828348868933,1.7595326592017209,1.7595326592017209,per_group,3
10104672,1,10104672,1,0.19224920725079128,0.19224920725079128,0.05484247563769041,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,1.0,1.0,0.7003856322516545,0.7003856322516545,0.0,0.0,0.0,0.0,0.005670195985171992,0,False,0.0,0.0,0.0,5.864943065036838,0.0,0.0,5.864943065036838,4.505693240722011,5.864943065036838,5.864943065036838,per_group,4
10107362,1,10107362,1,0.06906050511292984,0.06906050511292984,0.07280006515620879,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,0.0,0.0,0.352328180587476,0.352328180587476,0.0,0.0,0.0,0.0,0.00097650520617196,0,False,0.0,0.0,0.0,1.590955270260761,0.0,0.0,1.590955270260761,0.23170544594593345,1.590955270260761,1.590955270260761,per_group,5
10125152,0,10125152,0,0.08263682785842491,0.08263682785842491,0.07658901142714514,0.0,0.0,0.0,26,0,1.0,0.26539712744873545,1.0,0.26539712744873545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17324695545793248,0.0010118189831217351,0,True,0.0,0.0,0.0,1.1574965209865096,0.0,0.0,1.1574965209865096,0.7594008298134064,1.1574965209865096,1.1574965209865096,per_group,6
10125822,1,10125822,1,0.22954824524298473,0.22954824524298473,0.10356479566624044,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,0.047619047619047616,0.047619047619047616,0.9310808545246358,0.9310808545246358,0.0,0.0,0.0,0.0,0.10959273263823534,0,False,0.0,0.0,0.0,2.2317828580391943,0.0,0.0,2.2317828580391943,0.8725330337243669,2.2317828580391943,2.2317828580391943,per_group,7
10130032,1,10130032,1,0.04108253494383189,0.04108253494383189,0.06823232961082236,0.0,0.0,0.0,89,0,1.0,0.9061665495432185,1.0,0.9061665495432185,0.0,0.3333333333333333,0.3333333333333333,0.6088962449570705,0.6088962449570705,0.0,0.0,0.0,0.0,0.010257337985348265,0,False,0.0,0.0,0.0,3.032974509477366,0.0,0.0,3.032974509477366,1.6737246851625383,3.032974509477366,3.032974509477366,per_group,8
10138132,2,10138132,2,0.3545396234160882,0.3545396234160882,0.11387600479129154,0.0,0.0,0.0,6,0,1.0,0.06214418817658531,1.0,0.06214418817658531,0.0,0.0,0.0,0.9448920547442505,0.9448920547442505,0.0,0.0,0.0,1.0,0.2772993645730396,0,False,0.0,0.0,0.0,4.932483817741786,0.0,0.0,4.932483817741786,4.839267535476908,4.932483817741786,4.932483817741786,per_group,0
