permutation_name,status,dataset,protected_attribute,diffusion_model,community_method,embedding_method,clustering_method,optimizer_mode,ranking_mode,initialization,refinement,bias_control,spread_estimator_search,spread_estimator_final,search_spread_estimator,search_guidance_estimator,final_spread_estimator,method,variant_type,seed_set,total_spread,extra_spread,mf,dcv,f_score,runtime_seconds,search_runtime_seconds,final_eval_runtime_seconds,mc_runs_search,mc_runs_eval,key_enabled_modules,notes,skipped_reason
community_aware_fair_greedy,ok,graph_spa_500_0,region,ic,leiden,none,none,local_search,fairness_weighted_greedy,community_round_robin,swap_local_search,none,monte_carlo,monte_carlo,monte_carlo,none,monte_carlo,community_round_robin+fairness_weighted_greedy+swap_local_search,interpretable_baseline,"[13, 238]",2.0,0.0,0.0,0.8461538461538461,-0.4230769230769231,0.506358899998304,0.5057859000007738,0.0005729999975301325,2,3,diffusion=ic; community=leiden; ranking=fairness_weighted_greedy; optimizer=local_search; refinement=swap_local_search; search_estimator=monte_carlo; final_estimator=monte_carlo,"initial_rr=[12, 18]; greedy=[238, 28]; communities=19; modularity=0.802180",
graphsage_fair_ris_hybrid,ok,graph_spa_500_0,region,ic,leiden,graphsage,none,hybrid_si_ea,graphsage_plus_fair_ris,hybrid_population,swap_local_search+repair,worst_group_aware,fairness_aware_ris,monte_carlo,ris_guidance,ris_guidance,monte_carlo,hybrid_siea_ml_gnn_ris_two_tier_tuned_swap_local_search,ml_guided,"[17, 238]",2.0,0.0,0.0,0.8461538461538461,-0.4230769230769231,3.633398900001339,3.6325268000000506,0.0008721000012883451,2,3,diffusion=ic; community=leiden; ranking=graphsage_plus_fair_ris; optimizer=hybrid_si_ea; refinement=swap_local_search+repair; search_estimator=fairness_aware_ris; final_estimator=monte_carlo; embedding=graphsage; bias_control=worst_group_aware,"ML guidance mode=two_tier; full_pool=500; tier_policy=tuned; backend=gnn_ris; weights=(graphsage=1.000, ris=1.000, fair_ris=0.500, fairness=0.200, diversity=0.000); target=gnn_label_score; target_variance=0.002914; gnn_model_type=graphsage; node2vec_mode=off; feature_shape=(500, 53); edge_index_shape=(2, 1938); cache=hit; label_variance=0.006410; ris_num_rr_sets=16; ris_mode=weak_group_weighted; fair_ris_enabled=True; ris_reuse_rr_sets=True; history=graph_spa_500_0_budget2_leiden_hybrid_siea_ml_gnn_ris_two_tier_tuned_swap_local_search_history.csv; GraphSAGE ranking and fair RIS guidance delegated to existing gnn_ris hybrid path.",
infomap_graphcl_maximin,ok,graph_spa_500_0,region,ic,infomap,graphcl,spectral,local_search,maximin_greedy,maximin_greedy,swap_local_search,mild_adversarial_optional,monte_carlo,monte_carlo,monte_carlo,none,monte_carlo,infomap+maximin_greedy+swap_local_search,exploratory_fairness,"[238, 377]",2.0,0.0,0.0,0.8461538461538461,-0.4230769230769231,0.612275999999838,0.6117894999988494,0.0004865000009885989,2,3,diffusion=ic; community=infomap; ranking=maximin_greedy; optimizer=local_search; refinement=swap_local_search; search_estimator=monte_carlo; final_estimator=monte_carlo; embedding=graphcl; clustering=spectral; bias_control=mild_adversarial_optional,"GraphCL embedding and spectral clustering are optional exploratory modules; the runnable FIM path uses Infomap plus maximin/worst-group search.; initial_maximin=[271, 377]; communities=60; modularity=0.732486; optional_graphcl_clustering=not_materialized_in_fim_path",
