dataset,community_method,diffusion_model,ranking_model,embedding_method,search_spread_estimator,search_guidance_estimator,final_spread_estimator,method,variant_type,seed_set,total_spread,extra_spread,seed_set_size,spread_includes_seed_nodes,mf,dcv,f_score,candidate_pool_size,optimization_mode,swarm_guidance,crossover,local_search,community_aware_mutation,node2vec_enabled,node2vec_mode,note,search_runtime_seconds,final_eval_runtime_seconds,runtime_seconds,mc_runs_search,mc_runs_eval,mc_runs_search_used,mc_runs_eval_used,final_recheck_applied,final_recheck_top_k_rank,final_recheck_mc_runs_used,final_recheck_random_seed,final_recheck_total_spread,final_recheck_extra_spread,final_recheck_mf,final_recheck_dcv,final_recheck_f_score,final_recheck_runtime_seconds,ml_guidance_mode,guidance_mode,ml_backend,gnn_model_type,graphsage_enabled,ris_enabled,ris_mode,ml_validation_spearman,ml_validation_precision_at_budget,zero_covered_groups_count,bottom_3_avg_group_spread,fraction_groups_covered,weakest_groups_note,community_modularity,num_communities,largest_community_size,smallest_community_size,average_community_size,community_size_std,community_category,community_input_mode,community_requested_input_mode,protected_attribute,requested_spread_estimator,debias_mode,comparison_baseline_method,delta_f_score
graph_spa_500_0,kmeans,ic,none,none,not_used,none,monte_carlo,degree,baseline,"[13, 17, 271]",3.3333333333333335,0.3333333333333335,3,True,0.0,0.8648018648018648,-0.4324009324009324,500,full,False,False,False,False,False,off,,0.0007611000000906643,0.0010605000006762566,0.0018216000007669209,2,3,2,3,False,,,,,,,,,,off,none,none,,False,False,off,,,11,0.0,0.15384615384615385,"acton,desert_view_highlands,lake_los_angeles",0.30259510245899457,8,137,5,62.5,51.01960407529639,embedding_space,feature,auto,region,auto,off,hybrid_siea,-0.04778554778554778
graph_spa_500_0,kmeans,ic,none,none,monte_carlo,none,monte_carlo,hybrid_siea,proposed,"[271, 492, 9]",4.0,1.0,3,True,0.0,0.7692307692307693,-0.38461538461538464,500,full,True,True,True,True,False,off,history=graph_spa_500_0_budget3_kmeans_hybrid_siea_history.csv,0.03893239999888465,0.0005975000003672903,0.03952989999925194,2,3,2,3,False,,,,,,,,,,off,none,none,,False,False,off,,,10,0.0,0.23076923076923078,"acton,desert_view_highlands,lake_los_angeles",0.30259510245899457,8,137,5,62.5,51.01960407529639,embedding_space,feature,auto,region,auto,off,hybrid_siea,0.0
